N	3gram	Propp_Russ	Poddanst
1	в том что	27	4
2	не только в	1	4
3	с точки зрения	3	3
4	с одной стороны	1	3
5	в своем значении	1	2
6	но и в	1	2
7	и не только	1	2
8	и т д	12	1
9	друг с другом	1	1
10	можно судить по	1	1
11	вместе с тем	10	1
12	нужно обратиться к	1	1
13	и еще в	1	1
14	не связаны с	2	1
15	в применении к	1	1
16	в xix в	13	1
17	не может быть	1	1
18	же в этой	1	1
19	во многих случаях	4	1
20	в большинстве случаев	2	1
21	том что в	7	1
22	в отличие от	4	1
23	можно говорить о	1	1
24	что в этом	2	1
25	не более как	1	1
26	в собственном смысле	1	1
27	и другие народы	1	1
28	главным образом на	1	1
29	более широкой и	1	1
30	во всяком случае	1	1
31	для того чтобы	6	1
32	можно думать что	1	1
33	тем и другим	1	1
34	мы не будем	4	1
35	собою как бы	1	1
36	том что во	1	1
37	в настоящее время	3	1
38	но для каждого	1	1
39	сливаются в одно	1	1
40	но и другие	1	1
41	более или менее	1	1
42	тем более что	1	1
43	так же как	5	1
44	не только как	1	1
45	потому что по	1	1
46	и в этом	2	1
