N	4gram	Propp_Isto	KulturaY
1	и тем не менее	2	7
2	в то же время	1	6
3	с этой точки зрения	2	5
4	не в том чтобы	1	5
5	состоит в том что	1	4
6	и т д и	1	4
7	т д и т	1	4
8	д и т д	1	3
9	и вместе с тем	1	3
10	того что сказано выше	1	3
11	по мере того как	3	3
12	в тех случаях когда	1	3
13	только для того чтобы	1	3
14	точно так же как	2	3
15	состоит не в том	1	2
16	в том смысле что	1	2
17	только после того как	1	2
18	но дело не в	1	2
19	не что иное как	1	2
20	вовсе не в том	1	2
21	и потому что он	1	1
22	и т д такое	1	1
23	целое в свою очередь	1	1
24	и т д по	1	1
25	чтобы ответить на этот	1	1
26	в том что она	1	1
27	я думаю что это	1	1
28	не потому что он	1	1
29	несколько случаев в которых	1	1
30	вот пример уже не	1	1
31	не сам по себе	1	1
32	одно и то же	2	1
33	и с другой стороны	1	1
34	и т д в	1	1
35	ответить на этот вопрос	1	1
36	и т д мы	3	1
37	даже в тех случаях	1	1
38	с другой стороны эта	1	1
39	иметь в виду что	1	1
40	и т д или	3	1
41	с другой стороны в	1	1
42	в то время как	3	1
43	что для того чтобы	1	1
44	широком смысле этого слова	1	1
45	на этот вопрос мы	1	1
46	только в том что	1	1
47	стоит в связи с	1	1
48	конечно не может быть	1	1
49	свидетельствует о том что	1	1
50	его с тем что	1	1
51	без всякого ущерба для	1	1
52	в широком смысле этого	1	1
53	и т д убеждают	1	1
54	о которых идет речь	1	1
55	и целый ряд других	2	1
56	во всех этих случаях	2	1
57	и т д все	2	1
58	никак не может быть	1	1
59	внимание только на те	1	1
60	как мы видели выше	1	1
61	есть не что иное	1	1
