N	2gram	Ircho_Kome	UchenyiS
1	и в	37	14
2	не только	13	10
3	а не	5	10
4	и не	28	8
5	прежде всего	7	8
6	то что	5	7
7	в этом	18	7
8	не может	9	7
9	может быть	14	6
10	хотя бы	5	5
11	то же	14	5
12	и только	1	5
13	все это	7	5
14	в конечном	2	4
15	с другой	5	4
16	в этой	7	4
17	конечном счете	3	4
18	конечно не	4	4
19	но и	18	4
20	в их	5	4
21	к сожалению	2	3
22	бы то	3	3
23	было бы	7	3
24	не о	3	3
25	только к	1	3
26	как такового	1	3
27	этой области	1	3
28	для этого	3	3
29	очевидно что	1	3
30	это не	3	3
31	как и	10	3
32	то ни	4	3
33	для него	1	3
34	в своей	6	3
35	все же	9	3
36	ни было	3	3
37	в области	3	3
38	в частности	4	3
39	в то	14	3
40	не как	2	3
41	у нас	1	3
42	другой стороны	2	3
43	не следует	2	3
44	но в	7	3
45	же время	12	3
46	все они	1	2
47	таким образом	16	2
48	в самом	17	2
49	если не	7	2
50	же не	3	2
51	не приходится	5	2
52	материал для	2	2
53	должна была	1	2
54	в противном	1	2
55	могли бы	1	2
56	его и	3	2
57	если бы	18	2
58	самом деле	13	2
59	могут быть	3	2
60	не в	7	2
61	это было	1	2
62	бы и	1	2
63	и с	5	2
64	до сих	12	2
65	же самое	3	2
66	одним из	2	2
67	крайней мере	1	2
68	но не	9	2
69	по существу	4	2
70	тем что	12	2
71	более чем	6	2
72	в себе	4	2
73	в его	12	2
74	в конце	14	2
75	приходится признать	1	2
76	должна быть	2	2
77	мы не	6	2
78	именно как	1	2
79	ничего не	6	2
80	между тем	6	2
81	что она	10	2
82	что он	15	2
83	на каждом	1	2
84	конце концов	3	2
85	при таком	1	2
86	этом отношении	2	2
87	противном случае	1	2
88	о чем	11	2
89	как раз	9	2
90	каждом шагу	1	2
91	а его	2	2
92	в некоторых	1	2
93	наконец он	1	2
94	не могут	2	2
95	а как	2	2
96	что мы	4	2
97	сводится к	1	2
98	в том	24	2
99	представляется нам	2	2
100	том что	22	2
101	надо было	3	2
102	нас в	1	2
103	но даже	1	2
104	а о	2	2
105	и для	7	2
106	в системе	1	2
107	и является	1	2
108	что и	12	2
109	в сторону	1	2
110	не столько	3	2
111	не случайно	3	2
112	с его	6	2
113	и у	4	2
114	превращается в	1	2
115	на первый	1	2
116	сих пор	12	2
117	по крайней	1	2
118	только в	3	2
119	формы и	1	2
120	по себе	1	2
121	что все	1	2
122	еще один	2	1
123	впрочем для	1	1
124	первый взгляд	1	1
125	в той	2	1
126	было и	1	1
127	в г	3	1
128	признать что	5	1
129	что в	11	1
130	к лицу	2	1
131	чем к	2	1
132	этой тенденции	1	1
133	с которыми	1	1
134	не было	6	1
135	остается в	3	1
136	так или	3	1
137	хочет стать	1	1
138	было сделать	1	1
139	и даже	6	1
140	первый план	1	1
141	стиха но	1	1
142	более или	2	1
143	но тут	1	1
144	для начала	1	1
145	первую очередь	2	1
146	и потому	2	1
147	конечно это	1	1
148	но он	3	1
149	отказаться от	3	1
150	этом случае	2	1
151	образом на	1	1
152	в свое	2	1
153	в которой	6	1
154	имеем в	2	1
155	можно сказать	1	1
156	этого не	1	1
157	мы можем	7	1
158	иначе в	1	1
159	мнению не	1	1
160	ли для	1	1
161	их образы	1	1
162	что же	2	1
163	которой все	1	1
164	или иначе	3	1
165	у кого	2	1
166	все его	2	1
167	главное же	1	1
168	иначе связанные	1	1
169	что ему	4	1
170	он уже	1	1
171	больше чем	4	1
172	а для	2	1
173	еще раз	1	1
174	нет и	4	1
175	как на	1	1
176	равно как	7	1
177	быть не	1	1
178	со своими	1	1
179	он в	2	1
180	и все	6	1
181	что этот	1	1
182	что угодно	1	1
183	из самых	2	1
184	предыдущих страницах	1	1
185	же как	1	1
186	сказать что	4	1
187	и эта	2	1
188	достаточно ясно	1	1
189	вообще очень	1	1
190	она должна	2	1
191	него не	1	1
192	и строится	1	1
193	приема но	1	1
194	свое место	1	1
195	затем он	1	1
196	много лучше	1	1
197	не делает	2	1
198	без них	1	1
199	и действительно	1	1
200	того как	5	1
201	он знает	4	1
202	в ноги	1	1
