N	4gram	Vygotskiy_	SlovoVZh
1	так как если бы	1	4
2	бы то ни было	1	3
3	мы никогда не сможем	1	2
4	но тем не менее	1	2
5	с одной стороны и	1	2
6	одно и то же	6	2
7	одна и та же	1	1
8	внутренней речью со всей	1	1
9	бы они ни были	1	1
10	ни в какой степени	2	1
11	одному и тому же	5	1
12	и в этом смысле	1	1
13	одним и тем же	4	1
14	в том что в	3	1
15	по отношению к которому	1	1
16	все более и более	1	1
17	так же как и	6	1
18	в то время как	5	1
19	если мы обратимся к	4	1
20	и здесь мы должны	1	1
21	он имеет в виду	1	1
22	к вопросу о том	1	1
23	каковы бы они ни	1	1
24	один и тот же	6	1
