N	4gram	Propp_Morf	Stilisti
1	в то же время	1	7
2	одно и то же	1	5
3	не что иное как	2	2
4	ни к чему не	2	2
5	в тех случаях когда	2	2
6	в связи с этим	4	2
7	есть не что иное	1	2
8	это дает нам возможность	1	1
9	и ни к чему	1	1
10	таким образом мы приходим	2	1
11	как мы увидим ниже	4	1
12	то для того чтобы	1	1
13	образом мы приходим к	2	1
14	не задаваясь вопросом о	1	1
15	о том что такое	1	1
16	как мы увидим дальше	1	1
17	как мы уже видели	1	1
18	мы уже видели в	1	1
19	то же время и	1	1
20	в собственном смысле слова	3	1
