N	4gram	Vinokur_Vv	Psycholo
1	заключается в том что	2	23
2	и в самом деле	3	19
3	одной и той же	2	12
4	с этой точки зрения	2	10
5	заключается в том чтобы	1	9
6	одно и то же	2	7
7	в том что он	1	7
8	до тех пор пока	1	6
9	не что иное как	5	6
10	было бы сказать что	1	5
11	в зависимости от того	1	4
12	в том что в	1	4
13	одного и того же	2	4
14	в собственном смысле слова	1	4
15	то же самое что	2	4
16	то же самое и	1	4
17	состоит в том что	2	4
18	точно так же как	1	4
19	в то же время	6	3
20	для того чтобы сделать	1	3
21	ответ на этот вопрос	2	3
22	в том виде как	1	3
23	и то что в	1	3
24	в том смысле что	1	3
25	дело в том что	3	3
26	в том или ином	2	3
27	и т д мы	1	2
28	что в этом отношении	1	2
29	вовсе не в том	1	2
30	для того чтобы он	2	2
31	так как она есть	1	2
32	по самой своей природе	2	2
33	в центр своего внимания	1	2
34	т д все это	1	2
35	то для того чтобы	1	2
36	только в том что	1	2
37	с одной стороны и	3	2
38	и т д все	2	2
39	и тем не менее	3	2
40	и для того чтобы	1	2
41	если принять во внимание	1	2
42	приходит к выводу что	1	2
43	и т д и	1	2
44	нужно принять во внимание	1	2
45	представление о том что	1	2
46	бы то ни было	1	2
47	но вместе с тем	1	2
48	же самое что и	1	2
49	и в этом отношении	1	2
50	есть не что иное	3	2
51	той мере в какой	6	1
52	которая сама по себе	1	1
53	о чем говорится в	1	1
54	есть не самоцель а	1	1
55	в той мере в	6	1
56	того чтобы сделать эти	1	1
57	в широком смысле слова	4	1
58	ничего не может быть	1	1
59	что иное как именно	1	1
60	могло бы составить предмет	1	1
61	для того чтобы понять	3	1
62	заключается вовсе не в	1	1
63	это состоит в том	1	1
64	и до наших дней	1	1
65	сомневаться в том что	1	1
66	на вопрос о том	4	1
67	в самом деле даже	1	1
68	в связи с этим	1	1
69	что в нем есть	1	1
70	не вытекает из самого	1	1
71	как если бы оно	1	1
72	в самом деле как	1	1
73	вопрос о том что	3	1
74	которыми приходится иметь дело	1	1
75	в чем же заключаются	1	1
76	но это только одна	1	1
77	и в конце концов	1	1
78	о том что такое	5	1
79	связь между языком и	1	1
80	всегда заключает в себе	1	1
81	и именно в этом	1	1
82	из него следует что	1	1
83	в отличие от других	1	1
84	все то что могло	1	1
85	ответить на этот вопрос	1	1
86	необходимость в том чтобы	1	1
87	в каждом данном случае	1	1
88	вопрос о том насколько	1	1
89	с которыми приходится иметь	1	1
90	в том факте что	1	1
91	можно было бы назвать	1	1
92	и как раз в	1	1
93	это то же самое	1	1
94	одном и том же	1	1
95	была с самого начала	1	1
96	виде в каком он	1	1
97	в данном случае и	1	1
98	с тем что в	1	1
99	того чтобы понять что	2	1
100	того что в ней	1	1
101	и т д при	1	1
102	для того чтобы эта	1	1
103	в том что с	1	1
104	уже и в том	1	1
105	и в этом смысле	1	1
106	какой бы то ни	1	1
107	мы имеем дело с	1	1
108	потому что в этом	1	1
