N	2gram	Tiupa_Vved	VelikijI
1	и не	24	20
2	и в	23	16
3	то что	9	9
4	в истории	1	8
5	еще не	8	8
6	и потому	2	7
7	что они	2	7
8	а не	31	7
9	на земле	1	7
10	не есть	2	6
11	что есть	1	5
12	хотя и	10	5
13	того что	7	5
14	все это	3	5
15	как бы	8	5
16	на себя	5	5
17	в мире	9	5
18	но и	31	5
19	все что	3	4
20	в котором	11	4
21	в этом	27	4
22	что мы	2	4
23	потому что	7	4
24	в его	9	4
25	во мне	1	4
26	в ней	5	4
27	добра и	1	4
28	так и	14	4
29	говорить о	5	4
30	и есть	2	4
31	и все	8	4
32	что не	2	4
33	в образе	1	4
34	мировой жизни	1	4
35	что все	1	4
36	как и	21	4
37	что он	2	4
38	и я	1	4
39	к личности	1	4
40	в нем	9	4
41	во всех	2	3
42	что в	6	3
43	нет ничего	2	3
44	к счастью	1	3
45	бы и	4	3
46	и мы	1	3
47	за ним	1	3
48	в конце	3	3
49	хотя бы	2	3
50	в том	21	3
51	тому что	2	3
52	личности и	1	3
53	не в	12	3
54	и что	2	3
55	что и	6	3
56	они в	1	3
57	превращается в	1	3
58	в этих	5	3
59	в них	4	3
60	оно не	2	3
61	в вопросе	1	3
62	не было	5	3
63	лишь в	4	3
64	к чему	1	3
65	что ты	1	3
66	в жизни	7	3
67	что я	2	3
68	их в	3	3
69	в своей	10	3
70	должна быть	3	3
71	с его	1	3
72	к бытию	1	3
73	не имеет	3	3
74	но это	4	3
75	и для	8	3
76	жизни и	8	3
77	в чем	2	3
78	все эти	1	3
79	тот же	1	3
80	но в	14	3
81	к тому	9	3
82	никогда не	6	3
83	свое человеческое	1	2
84	чтобы сделать	1	2
85	всего в	1	2
86	во всяком	3	2
87	его и	1	2
88	материалом для	1	2
89	ее и	2	2
90	а к	3	2
91	в смысл	2	2
92	один из	3	2
93	освобождения от	1	2
94	мы и	2	2
95	не могли	1	2
96	и зла	1	2
97	которые не	2	2
98	на том	1	2
99	не так	1	2
100	того чтобы	2	2
101	это не	7	2
102	это все	1	2
103	вместо того	2	2
104	между тем	3	2
105	не только	32	2
106	для него	5	2
107	человека как	1	2
108	ивана карамазова	1	2
109	их жизнь	1	2
110	с ним	3	2
111	понимает и	1	2
112	о свободе	1	2
113	для нас	4	2
114	и то	1	2
115	своей истории	2	2
116	не с	4	2
117	прежде всего	11	2
118	лишь из	1	2
119	для них	3	2
120	можно было	2	2
121	так не	1	2
122	в форме	1	2
123	людей и	1	2
124	вслед за	3	2
125	и это	2	2
126	от этих	2	2
127	мы не	6	2
128	и теперь	1	2
129	только в	9	2
130	все равно	2	2
131	а с	4	2
132	а в	15	2
133	в духе	1	2
134	не хотел	1	2
135	истории и	1	2
136	и сам	2	2
137	это мы	1	2
138	но не	9	2
139	тем что	2	2
140	тот кто	2	2
141	и во	2	2
142	могут быть	5	2
143	мы это	1	2
144	значения и	2	2
145	не имел	1	2
146	с тем	1	2
147	от высшего	1	2
148	одна из	5	2
149	его к	1	2
150	не могут	1	2
151	да и	3	2
152	том что	16	2
153	когда в	2	2
154	мир и	1	2
155	уже не	7	2
156	почему оно	1	2
157	мира в	8	2
158	не к	4	2
159	от своей	1	2
160	свобода и	1	1
161	жизни но	1	1
162	в новом	1	1
163	в самом	6	1
164	во всем	1	1
165	суд над	1	1
166	мире и	1	1
167	перестает быть	1	1
168	и человеческого	1	1
169	могли бы	3	1
170	связь с	1	1
171	то есть	13	1
172	и стало	3	1
173	было не	2	1
174	а потому	1	1
175	человека в	2	1
176	но как	1	1
177	это одна	1	1
178	мы видим	1	1
179	на котором	1	1
180	любви и	2	1
181	человеческой жизни	4	1
182	жизни от	1	1
183	речь идет	3	1
184	но люди	1	1
185	тоже не	2	1
186	он говорит	1	1
187	будто бы	3	1
188	и на	5	1
189	она и	1	1
190	жизни без	1	1
191	на этом	1	1
192	может быть	25	1
193	хоть и	1	1
194	они не	3	1
195	к человеку	1	1
196	и было	1	1
197	раз и	2	1
198	человека не	1	1
199	если в	3	1
200	указать на	1	1
201	того как	1	1
202	которая в	3	1
203	слово это	2	1
204	и уж	1	1
205	мы увидим	1	1
206	и вообще	1	1
207	до времени	1	1
208	и который	2	1
209	свободного выбора	1	1
210	это тайна	1	1
211	забота о	2	1
212	и вот	3	1
213	его с	2	1
214	там он	1	1
215	но она	2	1
216	уже в	2	1
217	которое может	2	1
218	для себя	2	1
219	красоте и	1	1
220	у них	3	1
221	то же	8	1
222	и если	1	1
223	живет в	1	1
224	истории нет	1	1
225	есть знак	1	1
226	по сравнению	1	1
227	для того	1	1
228	сложное и	1	1
229	этом мире	1	1
230	это только	3	1
231	не по	4	1
232	образ и	1	1
233	можно признать	1	1
234	не для	1	1
235	этом пути	1	1
236	с каким-то	1	1
237	что это	2	1
238	не всегда	2	1
239	в разных	2	1
240	сознания так	1	1
241	о чем	4	1
242	тайны и	1	1
243	в ее	1	1
244	и тем	3	1
245	абсолютной ценности	1	1
246	и уже	1	1
247	если б	1	1
248	говорит о	1	1
249	нашего времени	2	1
250	как это	2	1
251	истории в	6	1
252	чем у	1	1
253	искать в	1	1
254	в которую	1	1
255	в тот	1	1
256	в одном	5	1
257	у нас	4	1
258	на пути	1	1
259	нового времени	5	1
260	о своем	1	1
261	в этой	2	1
262	со словами	1	1
263	в результате	5	1
264	его ограниченности	1	1
265	она к	1	1
266	в виду	3	1
267	другой стороны	3	1
268	единого в	1	1
269	слова с	1	1
270	роковым образом	1	1
271	и хотя	1	1
272	на людей	1	1
273	и великим	1	1
274	и вновь	3	1
275	человека к	1	1
276	у него	8	1
277	из нас	1	1
278	разных концах	1	1
279	власти и	1	1
280	не существует	3	1
281	ведет не	1	1
282	так же	2	1
283	в виде	1	1
284	тогда как	16	1
285	не была	1	1
286	их не	1	1
287	но с	1	1
288	в своих	5	1
289	тайной и	1	1
290	является и	1	1
291	в противоположность	1	1
292	себя за	1	1
293	о возможности	1	1
294	в разные	1	1
295	с другой	10	1
296	на разных	2	1
297	и с	2	1
298	и можно	1	1
299	к ним	4	1
300	времени с	1	1
301	жизнь в	1	1
302	сознания не	2	1
303	и опять	2	1
304	людей а	1	1
305	отношение к	5	1
306	на нее	2	1
307	смысл бытия	1	1
308	известном смысле	1	1
309	в мир	1	1
310	себя с	1	1
311	то и	2	1
312	к нейтральному	1	1
313	или даже	2	1
314	в бытии	3	1
315	но вот	1	1
316	никогда и	1	1
317	как мы	5	1
318	ведет к	2	1
319	мира если	1	1
320	их к	1	1
321	и до	1	1
322	лишь к	1	1
323	прошлом и	2	1
324	любви в	1	1
325	в процессе	1	1
326	пути и	1	1
327	на него	3	1
328	в своем	9	1
329	присутствует в	1	1
330	человек и	1	1
331	для полноты	1	1
332	стороны в	1	1
333	его на	1	1
334	еще и	2	1
335	к жизни	2	1
336	теперь когда	1	1
337	и от	3	1
338	как она	1	1
339	ничего не	3	1
340	вытекающего из	1	1
341	с ними	2	1
342	к миру	1	1
343	в сознании	5	1
344	духа в	1	1
345	сама идея	1	1
346	по крайней	1	1
347	для человеческого	1	1
348	в третьем	2	1
349	о которой	4	1
350	природы и	1	1
351	и так	1	1
352	вместе с	2	1
353	все же	10	1
354	идет по	1	1
355	мировой истории	2	1
356	как в	8	1
357	чем счастье	1	1
358	в которых	2	1
359	жизни в	5	1
360	значение в	1	1
361	роль в	2	1
362	можно ли	1	1
363	и настоящем	1	1
364	в современный	1	1
365	себя и	1	1
366	а его	3	1
367	и по	3	1
368	и могут	1	1
369	к этому	3	1
370	в их	2	1
371	со своей	4	1
372	и внешней	1	1
373	отказавшись от	1	1
374	его воли	1	1
375	в двух	1	1
376	сравнению с	1	1
377	мира и	5	1
378	может и	1	1
379	как близок	1	1
380	зависимости от	1	1
381	себя мы	1	1
382	бытия в	3	1
383	себя не	1	1
384	ни для	1	1
385	которого не	1	1
386	в известном	1	1
387	к ее	3	1
388	не просто	2	1
389	своим словом	1	1
390	он был	1	1
391	не случайно	1	1
392	в едином	3	1
393	в целом	4	1
394	им не	1	1
395	по смыслу	1	1
396	крайней мере	1	1
397	жизни не	2	1
398	это он	1	1
399	и ее	2	1
400	вовсе не	1	1
401	что на	4	1
402	не ведая	1	1
403	в искусстве	1	1
404	и нет	1	1
405	бы в	4	1
406	человеческую жизнь	1	1
407	к нему	2	1
408	освобождается от	1	1
409	от них	2	1
410	и смерти	2	1
