N	3gram	Savitsky_P	Morfolog
1	и т д	1	60
2	не может быть	1	9
3	с точки зрения	3	6
4	с другой стороны	1	5
5	в том что	4	4
6	в большинстве случаев	1	3
7	в собственном смысле	1	3
8	для того чтобы	1	3
9	в настоящее время	1	3
10	если мы не	1	3
11	далеко не все	1	3
12	ни к чему	1	2
13	тем и другим	1	2
14	более или менее	1	2
15	мы не сумеем	1	2
16	во всяком случае	1	2
17	с одной стороны	3	2
18	мы не будем	1	2
19	а в качестве	1	1
20	в применении к	1	1
21	не более как	1	1
22	а в с	1	1
23	того чтобы это	1	1
24	но и другие	1	1
25	в то же	7	1
26	друг с другом	1	1
27	совершенно ясно что	1	1
28	если бы мы	1	1
29	думается что в	1	1
30	о котором говорит	1	1
31	но в этом	1	1
32	нужно помнить что	2	1
33	точки зрения исторической	1	1
34	между тем в	1	1
35	чтобы это сделать	1	1
36	и вслед за	1	1
37	как таковые как	1	1
38	и в какой	1	1
39	и в качестве	1	1
40	то же время	7	1
41	каждый в отдельности	1	1
42	эти могут быть	1	1
