N	4gram	Voloshinov	StatiiOP
1	в то же время	1	9
2	в том что в	1	4
3	в каждом отдельном случае	1	2
4	состоит в том что	1	2
5	до тех пор пока	3	2
6	само собою разумеется что	1	2
7	но в то же	1	2
8	в выборе темы в	1	1
9	но может быть это	1	1
10	не может быть и	1	1
11	с этой точки зрения	1	1
12	тех пор пока существует	1	1
13	иметь в виду что	1	1
14	само собой разумеется что	1	1
15	может быть и речи	1	1
16	собственно говоря даже и	1	1
17	одно и то же	2	1
18	должно было бы быть	1	1
19	и пр на самом	1	1
20	только потому что они	1	1
