N	3gram	Losev_Vesc	VelikijI
1	не верят в	1	3
2	к тому что	2	3
3	то что мы	3	3
4	и т д	36	2
5	в том что	9	2
6	бы и не	1	2
7	вместо того чтобы	1	2
8	в нем нет	2	2
9	но и в	1	2
10	том что он	2	2
11	на нас и	1	2
12	то что я	2	2
13	не будет уже	1	2
14	что бы то	1	1
15	если оно не	3	1
16	для него не	1	1
17	т д и	11	1
18	в конце концов	2	1
19	конечно ни в	1	1
20	еще не был	1	1
21	как объективную реальность	1	1
22	но может ли	1	1
23	их во имя	1	1
24	вместе с тем	3	1
25	и во всяком	1	1
26	и вместе с	1	1
27	мы видим что	2	1
28	есть один из	1	1
29	да и то	1	1
30	во имя отца	1	1
31	в истории и	1	1
32	есть то что	4	1
33	потому что оно	1	1
34	это одна из	1	1
35	по сравнению с	7	1
36	есть прежде всего	4	1
37	и то и	1	1
38	что не в	1	1
39	самого себя и	1	1
40	в одно целое	1	1
41	по крайней мере	10	1
42	д и т	10	1
43	то и другое	6	1
44	них ничего нельзя	1	1
45	у нас это	1	1
46	хотя бы и	2	1
47	того что есть	1	1
48	и не было	1	1
49	есть еще и	2	1
50	но все же	2	1
51	с другой стороны	3	1
52	хотя и эта	1	1
53	и есть уже	1	1
54	ее и в	1	1
55	и можно ли	1	1
56	бы то ни	12	1
57	уже и не	1	1
58	и есть то	2	1
59	и в этом	2	1
60	так как она	1	1
