N	3gram	Nazirov_Vr	Istorich
1	с другой стороны	1	46
2	до сих пор	1	30
3	так же как	1	27
4	в том что	2	25
5	не может быть	2	24
6	тем не менее	1	23
7	точно так же	1	22
8	о том что	1	22
9	в связи с	3	17
10	о том как	1	15
11	на то что	1	14
12	в то время	1	13
13	и то что	1	8
14	что у него	1	8
15	во всяком случае	1	7
16	на первый взгляд	1	7
17	но это не	1	6
18	все же не	1	6
19	и что он	1	5
20	что это за	1	5
21	с точки зрения	2	4
22	независимо от того	1	4
23	тем что он	1	4
24	в это время	1	4
25	и в ней	1	4
26	между прочим и	1	4
27	это и есть	1	4
28	и то же	1	3
29	не только не	1	3
30	о чем говорилось	1	3
31	в ответ на	1	3
32	но мы знаем	1	3
33	я не знаю	1	3
34	в соответствии с	1	3
35	в третий раз	1	3
36	что в нем	1	3
37	мы знаем о	1	3
38	не все ясно	1	3
39	во второй раз	1	3
40	он как бы	1	2
41	не забудем что	1	2
42	об этом говорят	1	2
43	но в целом	1	2
44	на первый план	1	2
45	не только как	1	2
46	может быть и	1	2
47	и никому не	1	2
48	за что же	1	2
49	лет тому назад	1	2
50	что они не	1	2
51	при этом он	1	2
52	не вдаваясь в	1	2
53	с тех пор	1	2
54	и не может	1	2
55	в свою очередь	1	2
56	равно как и	1	2
57	он не только	2	2
58	что в жизни	1	2
59	на свое место	1	2
60	но для нас	1	2
61	целый ряд деталей	2	2
62	одно и то	1	2
63	в другой раз	1	2
64	и из него	1	2
65	ему нужно было	1	1
66	что в ней	1	1
67	это дает нам	1	1
68	в этот момент	2	1
69	в родстве с	1	1
70	все же он	1	1
71	а с точки	1	1
72	у него в	1	1
73	и все что	1	1
74	но при этом	1	1
75	его отношения к	1	1
76	каждый из них	1	1
77	речь идет о	1	1
78	в себе силы	1	1
79	и во всем	1	1
80	тот ни другой	1	1
81	не имеет никаких	1	1
82	но в этом	1	1
83	к вопросу о	1	1
84	это то что	1	1
85	во время сна	1	1
86	но и это	1	1
87	никогда не переставал	1	1
88	его в том	1	1
89	в этом смысле	1	1
90	ответ на это	1	1
91	связи с этим	1	1
92	тем более что	1	1
93	потому что исследователи	1	1
94	и в котором	1	1
95	же сообщается о	1	1
96	же как эта	1	1
97	которого никто не	1	1
98	и что в	2	1
99	я покажу тебе	1	1
100	в каком направлении	1	1
101	следить за тем	1	1
102	как бы в	1	1
103	и уже по	1	1
104	правда давно уже	1	1
105	о нем в	1	1
106	еще один пример	1	1
107	имеется в виду	1	1
108	к себе не	1	1
109	только при помощи	1	1
110	в этом отношении	1	1
111	это время он	1	1
112	они не совсем	1	1
113	в нем самом	1	1
114	он вспоминает о	1	1
115	а с другой	1	1
116	смерти отца героя	1	1
117	в высшей степени	1	1
118	то же время	4	1
119	и в этом	1	1
120	ни тот ни	1	1
121	за тем чтобы	1	1
122	этим можно объяснить	1	1
123	было одним из	1	1
124	но об этом	1	1
125	в то же	4	1
126	заключается в том	1	1
127	постепенно выясняется что	1	1
128	но в то	2	1
129	ли не самым	1	1
130	в свете этой	1	1
131	служит для него	1	1
132	уже говорилось выше	1	1
133	говорилось выше и	1	1
134	к нему с	1	1
135	едва ли не	1	1
136	то что они	1	1
137	почему этого не	1	1
