N	3gram	Berdyaev_M	Literetu
1	в том что	3	21
2	по отношению к	4	12
3	не может быть	22	11
4	в отличие от	1	11
5	о том что	3	10
6	в этом отношении	1	10
7	с точки зрения	1	8
8	подобно тому как	2	6
9	не только в	2	6
10	прежде всего в	2	5
11	и т п	1	3
12	в самом деле	1	3
13	никогда не бывает	2	3
14	на то что	1	3
15	на самом деле	1	3
16	во всяком случае	1	3
17	для того чтобы	4	2
18	в русской поэзии	1	2
19	не так как	1	2
20	в отношении к	3	2
21	что он в	1	2
22	между тем как	2	2
23	и вместе с	4	2
24	быть может наиболее	1	2
25	может быть названа	1	2
26	потому что не	1	2
27	друг друга а	1	2
28	имел в виду	1	2
29	к тому что	1	2
30	а не только	3	2
31	в значительной степени	2	2
32	берет на себя	1	2
33	не мог бы	2	2
34	вместе с тем	5	2
35	тем что в	1	2
36	но и в	4	2
37	так и не	2	2
38	и в самом	3	2
39	в себе и	2	2
40	которые могли бы	1	2
41	что он сам	1	2
42	все та же	1	2
43	можно было бы	1	2
44	это прежде всего	1	2
45	несет в себе	1	2
46	тем что он	2	2
47	друг для друга	2	2
48	себя в них	1	2
49	в мире как	1	2
50	жизни и в	1	2
51	к жизни в	1	2
52	на эту тему	1	2
53	жизни а не	1	1
54	в конце этой	1	1
55	никогда и нигде	1	1
56	как и во	2	1
57	себя и других	1	1
58	что он не	3	1
59	может быть назван	3	1
60	как будто бы	2	1
61	что есть свобода	1	1
62	для этого необходимо	2	1
63	и самого себя	2	1
64	к тому чтобы	2	1
65	в той мере	1	1
66	своего творческого пути	1	1
67	может быть постигнут	2	1
68	в нынешнем его	1	1
69	нет ничего кроме	1	1
70	и он готов	1	1
71	на том что	1	1
72	своего образа и	1	1
73	одно из самых	2	1
74	для него не	2	1
75	в жизни его	1	1
76	чем он сам	1	1
77	хотя бы и	2	1
78	видел перед собой	1	1
79	был по преимуществу	1	1
80	в частности может	1	1
81	что человек всегда	1	1
82	образа и подобия	1	1
83	не в том	1	1
84	то в чем	1	1
85	он сам не	2	1
86	не несет в	1	1
87	но и он	1	1
88	в этом втором	1	1
89	как бы не	2	1
90	каждый человек в	1	1
91	во многих отношениях	1	1
92	не знает что	1	1
93	до сих пор	5	1
94	потому что в	4	1
95	все более и	1	1
96	а также в	1	1
97	и не должно	1	1
98	к человеку и	4	1
99	в конце концов	3	1
100	начале xix века	1	1
101	и переходит в	2	1
102	в зависимости от	1	1
103	и не было	2	1
104	но и его	1	1
105	человеческого духа и	3	1
106	том что в	1	1
107	по ту сторону	1	1
108	но и с	1	1
109	как ему казалось	1	1
110	но и от	1	1
111	но не в	1	1
112	самого себя и	1	1
113	он преодолевается как	1	1
114	в высшей степени	4	1
115	в наше время	1	1
116	сама по себе	1	1
117	от бога в	1	1
118	у него не	1	1
119	и перед ним	1	1
120	и не состояться	1	1
121	но это не	3	1
122	преступления и наказания	2	1
123	и в том	1	1
124	но не менее	1	1
125	в ней есть	1	1
126	а не в	4	1
127	и в этом	1	1
128	и потому не	3	1
129	жизнь и судьба	1	1
130	в этой любви	1	1
131	потому не может	1	1
132	после того как	2	1
133	но это и	1	1
134	во имя свободы	2	1
135	и никто не	1	1
136	толстого и достоевского	1	1
137	втором случае человек	1	1
138	не только для	1	1
139	процесса в этой	1	1
140	как бы в	1	1
141	не могли быть	1	1
142	но не только	1	1
143	может быть он	1	1
144	не только от	1	1
145	с того что	1	1
146	то что открывается	1	1
147	в иной в	1	1
148	один из моментов	1	1
149	он один из	1	1
150	в начале xix	1	1
151	не что иное	4	1
152	более и более	1	1
153	он не может	2	1
154	человека в этом	1	1
155	так как будто	1	1
156	в другом и	1	1
157	тому как в	1	1
158	в этих словах	1	1
159	во всех этих	1	1
160	ни с какой	1	1
161	было бы и	1	1
162	том что он	1	1
163	у него нет	4	1
164	начала в мире	1	1
165	с первого дня	1	1
166	не могут быть	2	1
167	в жизни так	1	1
168	для него как	1	1
169	есть по преимуществу	1	1
170	в мире и	1	1
171	что иное как	4	1
172	в ряду других	1	1
173	своего другого в	1	1
174	и не может	2	1
175	это и есть	7	1
176	нет и не	1	1
177	означает не только	1	1
178	свобода есть свобода	1	1
179	сознание уже не	1	1
180	может быть и	2	1
