N	3gram	Bakhtin_sl	Tragedij
1	то же время	15	5
2	в то же	15	5
3	так и в	5	3
4	в том что	4	2
5	отцы и дети	1	2
6	и в частности	1	2
7	но в то	6	2
8	это очень важно	1	2
9	между этими двумя	1	2
10	в данном случае	3	2
11	о том что	2	2
12	но все же	1	2
13	в отличие от	12	2
14	в отцах и	1	1
15	не только по	1	1
16	у него есть	1	1
17	оно сливается с	1	1
18	том что он	1	1
19	не только о	2	1
20	в одном из	1	1
21	друг друга и	1	1
22	что он не	1	1
23	бы и не	1	1
24	а между тем	2	1
25	может быть не	1	1
26	и что же?	1	1
27	в основном на	1	1
28	могут быть отнесены	1	1
29	в применении к	1	1
30	не может быть	11	1
31	в известной степени	3	1
32	роль в романе	1	1
33	и т п	49	1
34	наших дней на	1	1
35	же время он	1	1
36	в этом случае	4	1
37	необходимо отметить что	2	1
38	и потому как	1	1
39	во всем его	1	1
40	слова в виде	1	1
41	в чем же	1	1
42	с самого начала	1	1
43	не только не	2	1
44	но и на	1	1
45	своей и чужой	1	1
46	у него нет	2	1
47	не могут быть	3	1
48	хотя бы и	5	1
49	романа и в	1	1
50	обстоит дело с	1	1
51	в виду не	1	1
52	как и в	2	1
53	в связи с	2	1
54	во всяком случае	7	1
55	к тому что	2	1
56	тем не менее	2	1
57	и в истории	1	1
58	и до конца	1	1
59	в своей книге	1	1
60	до xx века	1	1
61	быть отнесены к	1	1
62	но у него	1	1
63	и не может	2	1
64	и в этом	2	1
65	отцах и детях	1	1
