N	2gram	Voloshinov	Problemy
1	и в	13	106
2	и не	8	90
3	как бы	6	70
4	может быть	8	66
5	в его	7	56
6	в этом	2	52
7	в нем	2	51
8	не может	8	49
9	как и	3	44
10	что он	1	44
11	точки зрения	7	40
12	но и	3	40
13	для него	2	39
14	и его	12	39
15	а не	2	38
16	то же	4	36
17	не только	6	36
18	в пределах	3	35
19	то что	6	33
20	но в	4	33
21	прежде всего	9	32
22	в то	1	29
23	все это	4	29
24	и все	3	28
25	в одном	3	27
26	не в	3	27
27	к другому	1	27
28	же время	1	26
29	в самом	2	25
30	к нему	1	25
31	с точки	5	25
32	не как	3	24
33	вовсе не	2	24
34	героя и	2	24
35	самом деле	3	24
36	слова и	2	23
37	по себе	1	22
38	в каждом	4	22
39	таким образом	6	22
40	там где	2	21
41	все же	5	20
42	никогда не	3	20
43	только в	6	20
44	потому что	1	20
45	что же	3	19
46	что в	3	19
47	с его	1	19
48	отношению к	3	19
49	по отношению	3	18
50	в себе	3	18
51	еще не	1	18
52	на самом	1	18
53	но не	1	18
54	все эти	2	18
55	и к	2	17
56	а в	2	17
57	в том	2	17
58	так и	3	17
59	так же	2	16
60	если бы	2	16
61	в своей	4	16
62	в другом	2	16
63	до конца	1	15
64	и для	3	15
65	и наконец	5	15
66	в своем	1	14
67	в конце	1	14
68	а как	2	14
69	в отношении	2	14
70	так как	3	14
71	он и	1	14
72	лишь в	4	14
73	его в	1	13
74	в мире	1	13
75	и это	1	13
76	себя и	1	13
77	в целом	2	13
78	при этом	2	12
79	и как	1	12
80	к тому	2	12
81	не знает	1	12
82	и что	1	12
83	за пределы	3	12
84	было бы	4	12
85	между тем	2	12
86	как в	2	12
87	том что	2	12
88	но это	1	12
89	слово в	3	12
90	в одной	1	12
91	тем что	2	11
92	их в	1	11
93	входит в	2	11
94	с другой	2	11
95	должно быть	1	11
96	это слово	1	11
97	бы в	2	11
98	мы уже	2	11
99	этого слова	1	11
100	сознания и	2	11
101	или как	1	11
102	более того	2	11
103	самого начала	2	10
104	слово не	1	10
105	в произведении	2	10
106	для себя	2	10
107	в самой	1	10
108	к одному	3	10
109	далеко не	1	10
110	лишь как	1	10
111	отношение к	1	10
112	ведь и	1	10
113	другой стороны	2	9
114	в них	2	9
115	хотя бы	5	9
116	с самого	2	9
117	из одного	1	9
118	могут быть	2	9
119	да и	3	9
120	или в	1	9
121	и до	1	8
122	все время	1	8
123	переходим к	1	8
124	и он	1	8
125	несмотря на	2	8
126	одним из	1	8
127	и у	1	8
128	мы должны	6	8
129	нам кажется	1	8
