N	3gram	Vinokur_St	Dialekti
1	и т д	25	75
2	с точки зрения	10	46
3	по крайней мере	2	26
4	в том что	29	25
5	ни в каком	1	18
6	не может быть	5	18
7	тем не менее	4	16
8	сам по себе	1	16
9	то же время	5	15
10	в то же	5	14
11	т д и	2	14
12	д и т	1	12
13	и то же	1	12
14	с другой стороны	8	12
15	о том что	19	12
16	одно и то	1	12
17	на то что	5	11
18	в самом деле	7	10
19	т е в	3	10
20	иметь в виду	2	9
21	и в этом	4	9
22	содержит в себе	1	9
23	то или иное	3	9
24	не значит что	3	8
25	не только не	2	8
26	только то что	1	8
27	в то время	2	8
28	то время как	1	8
29	в этом смысле	2	8
30	говоря уже о	2	7
31	вовсе не в	2	7
32	не в том	3	7
33	так или иначе	3	7
34	сами по себе	2	7
35	т е не	2	7
36	в каком случае	1	7
37	точно так же	2	7
38	той или иной	1	7
39	не говоря уже	2	7
40	только потому что	2	6
41	для того чтобы	13	6
42	более или менее	2	6
43	в зависимости от	2	6
44	и в то	1	6
45	значит что мы	1	6
46	не имеет никакого	1	6
47	выйти за пределы	1	6
48	во всяком случае	8	6
49	с одной стороны	2	6
50	может быть и	2	6
51	имеет ничего общего	2	5
52	на самом деле	7	5
53	и даже не	2	5
54	по сравнению с	1	5
55	потому что она	1	5
56	ничего общего с	3	5
57	в конце концов	2	5
58	потому что он	1	5
59	не имеет ничего	2	5
60	к тому что	4	5
61	в том смысле	4	5
62	до сих пор	12	5
63	в виду что	1	5
64	что в нем	2	5
65	это не значит	3	4
66	том смысле что	2	4
67	и т п	11	4
68	ни в чем	1	4
69	так же как	5	4
70	но даже и	1	4
71	в данном случае	7	4
72	к тому же	2	4
73	не может не	1	4
74	что это не	2	4
75	с тех пор	1	4
76	я не могу	2	4
77	но это не	1	4
78	я думаю что	4	4
79	значит что в	1	4
80	можно было бы	8	4
81	в результате которой	1	4
82	как бы ни	2	4
83	т д но	4	4
84	в этом отношении	13	4
85	в той или	1	3
86	как будто бы	1	3
87	каком случае не	1	3
88	из двух или	1	3
89	того что именно	2	3
90	он не может	1	3
91	одних и тех	1	3
92	т д в	1	3
93	на точку зрения	2	3
94	если бы мы	2	3
95	одно из двух	1	3
96	это вовсе не	1	3
97	и говорить о	1	3
98	но все же	3	3
99	бы то ни	2	3
100	уже о том	2	3
101	и не может	1	3
102	того или иного	4	3
103	в чем же	1	3
104	ту или иную	1	3
105	как и в	2	3
106	и тех же	1	3
107	о том как	1	3
108	с этой стороны	1	3
109	но в то	2	3
110	не только в	4	3
111	речь идет о	3	3
112	с самого начала	3	3
113	же как и	1	3
114	принять во внимание	1	3
115	так что в	1	3
116	я никогда не	1	3
117	я не стану	1	3
118	что он не	5	2
119	но то что	1	2
120	но ведь это	1	2
121	в вопросе о	1	2
122	но все эти	1	2
123	не существует что	1	2
124	некоторые из них	1	2
125	то тем самым	1	2
126	выходя за пределы	1	2
127	как и вообще	2	2
128	в каждом из	1	2
129	том что в	4	2
130	т д на	1	2
131	выше я уже	1	2
132	из них и	2	2
133	хотя бы и	2	2
134	дело не в	2	2
135	во что бы	1	2
136	друг от друга	1	2
