N	4gram	Nazirov_Tv	formyVre
1	в то же время	18	18
2	одного и того же	1	9
3	и в то же	2	8
4	в том числе и	1	5
5	мы имеем в виду	1	5
6	ни в чем не	1	3
7	на протяжении всего романа	1	3
8	но в то же	5	3
9	так же как и	1	3
10	все более и более	1	2
11	дело в том что	4	2
12	одна и та же	1	2
13	в соответствии с этим	1	2
14	следуют друг за другом	1	2
15	в разрезе одного момента	1	2
16	то же время они	1	2
17	то же время он	2	1
18	в том что в	3	1
19	нем и через него	1	1
20	одну и ту же	1	1
21	очень важную роль в	1	1
22	мы уже говорили о	1	1
23	то что может быть	1	1
24	мы уже говорили что	1	1
25	друг за другом в	1	1
26	только то что может	1	1
27	или во всяком случае	1	1
28	из петербурга в москву	1	1
29	достоевского преступление и наказание	1	1
30	и в другом месте	1	1
31	и т п где	1	1
32	дело не только в	1	1
33	говорили о том что	1	1
34	в нем и через	1	1
35	и в том же	1	1
