N	3gram	Berdyaev_N	RusskieA
1	в том что	1	49
2	вместе с тем	2	11
3	о том что	1	10
4	в том чтобы	1	9
5	подобно тому как	3	8
6	не может быть	4	6
7	так же как	2	6
8	в отличие от	1	4
9	что в этом	1	4
10	в то время	1	4
11	можно было бы	1	4
12	во всяком случае	1	4
13	до сих пор	1	3
14	же как и	1	3
15	и потому что	1	3
16	тому как в	1	3
17	это не значит	2	2
18	в большинстве случаев	1	2
19	не значит что	3	2
20	может быть только	1	2
21	с другой стороны	2	2
22	равно как и	2	2
23	но она не	1	2
24	как и в	1	2
25	но и потому	1	2
26	вопрос о том	2	2
27	ни одна из	2	2
28	не только в	1	2
29	с одной стороны	2	2
30	в человеческом обществе	1	1
31	как будто бы	1	1
32	наряду с этим	1	1
33	только потому что	1	1
34	одного и того	1	1
35	в такой же	1	1
36	она не может	2	1
37	в то что	1	1
38	есть вместе с	1	1
39	и того же	1	1
40	и пр в	1	1
41	смысле в каком	1	1
42	и оно же	1	1
43	имея в виду	1	1
44	как будто не	1	1
45	в значительной степени	1	1
46	о том чтобы	1	1
47	жизни в этой	1	1
48	быть не может	1	1
49	прежде всего как	1	1
50	и возвращается к	1	1
51	не в духе	1	1
52	применяя к ним	1	1
53	но и в	1	1
54	дай бог чтобы	1	1
55	должен быть признан	1	1
56	то что в	1	1
57	и через них	1	1
58	и до сих	1	1
59	не только потому	1	1
60	что в нем	2	1
61	в новое время	1	1
62	это и есть	1	1
63	то время как	1	1
