N	4gram	Propp_Russ	Morfolog
1	как мы увидим ниже	1	4
2	состоит в том что	16	3
3	в то время как	1	3
4	это не значит что	2	2
5	как и в других	1	2
6	и т д а	1	2
7	в тех случаях когда	2	2
8	не что иное как	3	2
9	какие же выводы можно	2	1
10	нужно иметь в виду	1	1
11	ниже мы увидим что	1	1
12	для наших целей нет	1	1
13	и т д и	1	1
14	же выводы можно сделать	2	1
15	в этом случае он	1	1
16	и в других случаях	1	1
17	тем не менее следует	1	1
18	вопрос о том кто	1	1
19	т д сюда же	1	1
20	не имеет ничего общего	1	1
21	и т д с	1	1
22	чем решить вопрос о	1	1
23	во всех других случаях	1	1
24	выводы можно сделать из	2	1
25	к тому что в	1	1
26	приводит к тому что	1	1
27	бросается в глаза что	1	1
28	можно сделать из приведенных	1	1
29	не имеет смысла но	1	1
30	только в тех случаях	1	1
31	и т д сюда	1	1
32	определить в какой степени	1	1
