N	3gram	Voloshinov	Morfolog
1	не может быть	3	9
2	в связи с	1	9
3	с точки зрения	6	6
4	связи с этим	1	5
5	подобно тому как	1	5
6	в том что	1	4
7	на самом деле	4	4
8	не могут быть	2	4
9	в большинстве случаев	3	3
10	о том что	2	3
11	для того чтобы	1	3
12	и пр и	3	3
13	бы то ни	1	3
14	на первый взгляд	1	3
15	мы увидим что	1	2
16	следует заметить что	1	2
17	говорить о том	1	2
18	друг на друга	2	2
19	он может быть	1	2
20	не что иное	1	2
21	можно было бы	1	2
22	и таким образом	1	2
23	в данном случае	1	2
24	мы имеем в	1	2
25	то ни было	1	2
26	во всяком случае	3	2
27	что иное как	1	2
28	с одной стороны	1	2
29	в этом отношении	1	2
30	мы уже знаем	1	1
31	вопрос о мотивах	1	1
32	вспомним хотя бы	1	1
33	как один из	1	1
34	в применении к	1	1
35	в мифах и	1	1
36	а на самом	1	1
37	и может быть	2	1
38	он не дает	1	1
39	самом деле в	1	1
40	мы останавливаться не	1	1
41	с этой точки	1	1
42	как живое существо	1	1
43	в коем случае	1	1
44	можно сказать что	3	1
45	в этом и	1	1
46	посвящена настоящая работа	1	1
47	уже не может	1	1
48	в этом нет	1	1
49	друг с другом	1	1
50	до сих пор	3	1
51	все же в	1	1
52	и посвящена настоящая	1	1
53	могут быть поняты	1	1
54	ни в коем	1	1
55	той или иной	1	1
56	останавливаться не будем	1	1
57	в этой работе	1	1
58	она может быть	1	1
59	с самого начала	4	1
60	так как его	1	1
61	в высшей степени	1	1
62	этой точки зрения	1	1
63	где оно есть	1	1
64	или во всяком	1	1
65	и пр как	1	1
66	мы не можем	1	1
