N	3gram	Savitsky_P	slovoVRo
1	не может быть	1	19
2	то же время	7	18
3	в то же	7	18
4	с точки зрения	3	15
5	в отличие от	1	14
6	в отношении к	5	12
7	в большинстве случаев	1	11
8	с одной стороны	3	11
9	и т д	1	10
10	более или менее	1	9
11	во всяком случае	1	8
12	но в то	1	7
13	и в то	2	6
14	в нем в	1	6
15	с другой стороны	1	6
16	в том что	4	5
17	хотя бы и	1	5
18	не только в	4	5
19	одной стороны и	2	4
20	для того чтобы	1	4
21	друг с другом	1	4
22	и не может	1	4
23	в собственном смысле	1	3
24	но в этом	1	2
25	в известном смысле	1	2
26	и в этом	1	2
27	но и в	2	2
28	тем и другим	1	2
29	как одна из	1	2
30	же время в	1	2
31	и в частности	1	2
32	и не только	2	2
33	тот или иной	1	2
34	мы все же	1	1
35	в одно и	1	1
36	собственном смысле не	1	1
37	не входят в	1	1
38	в применении к	1	1
39	только в условиях	1	1
40	можно рассматривать с	1	1
41	в xix веке	1	1
42	и с современным	1	1
43	в том числе	2	1
44	в частности в	1	1
45	разных точек зрения	1	1
46	сами по себе	3	1
47	именно потому что	1	1
48	насколько мы можем	1	1
49	том числе и	1	1
50	само по себе	1	1
51	если бы мы	1	1
52	том что в	1	1
53	должна быть именно	1	1
54	там где он	1	1
55	но в отличие	1	1
56	заключается в том	2	1
57	и не столько	1	1
58	где бы ни	1	1
59	гоголя и достоевского	1	1
60	почти исключительно на	1	1
61	может не только	1	1
62	различных формах и	1	1
63	бы она ни	1	1
64	бы оно ни	1	1
65	далеко не все	1	1
66	так же как	1	1
67	для них и	1	1
68	как бы она	1	1
69	не только как	1	1
70	потому что по	1	1
