N	4gram	Medvedev_U	FransuaR
1	в то же время	3	55
2	но в то же	1	20
3	большей или меньшей степени	1	14
4	в большей или меньшей	1	14
5	и в то же	1	12
6	мы имеем в виду	1	5
7	с другой стороны в	1	2
8	бы то ни было	3	2
9	которых так много в	1	2
10	то же время не	1	2
11	никогда не может быть	1	1
12	конечно не в том	1	1
13	то же самое что	1	1
14	одно из первых мест	1	1
15	они до сих пор	1	1
16	является одним из самых	1	1
17	в этом отношении очень	1	1
18	в том что она	1	1
19	дело конечно не в	1	1
20	это то же самое	1	1
21	выдвигает на первый план	1	1
22	и в этой области	2	1
23	и все они в	1	1
24	не в том что	1	1
