N	2gram	Medvedev_B	NovoeSre
1	а не	1	17
2	и в	1	16
3	и не	2	11
4	что в	1	9
5	в эпоху	1	9
6	не только	1	5
7	в ней	2	5
8	все это	2	5
9	и потому	1	4
10	прежде всего	1	4
11	не было	1	4
12	вопрос о	1	3
13	должна быть	1	3
14	за пределы	1	3
15	с другой	1	3
16	в своей	1	3
17	еще не	1	3
18	так и	1	2
19	можно было	2	2
20	другой стороны	1	2
21	из ее	1	2
22	и на	1	2
23	что все	1	2
24	как будто	1	2
25	и более	1	1
26	выходит за	1	1
27	к ней	1	1
28	также что	1	1
29	в значительной	1	1
30	во всяком	1	1
31	моментом в	1	1
32	было бы	1	1
33	значительной степени	1	1
34	о свободе	1	1
35	на формальной	1	1
36	говорить о	1	1
37	у нас	3	1
38	творчества и	1	1
39	было и	1	1
40	будто бы	1	1
41	и во	1	1
42	в области	1	1
43	всяком случае	1	1
44	и нет	1	1
