N	3gram	Tiupa_Vved	Tvorches
1	в то же	5	25
2	то же время	4	24
3	в том что	10	11
4	в соответствии с	8	8
5	о том что	6	8
6	и в то	1	7
7	по сути дела	4	7
8	в конечном счете	2	6
9	не может быть	6	6
10	но в то	1	6
11	в самом деле	2	5
12	в том же	1	5
13	в наше время	1	5
14	по отношению к	11	5
15	по крайней мере	1	4
16	дело в том	1	4
17	с самого начала	1	4
18	в таком случае	1	3
19	сами по себе	1	3
20	в отличие от	11	3
21	в известной мере	1	3
22	во всяком случае	3	3
23	как и в	2	3
24	едва ли не	2	3
25	с другой стороны	2	3
26	хотя и не	2	3
27	добра и зла	1	3
28	и все же	6	3
29	и не может	1	3
30	в году в	1	3
31	войне и мире	2	2
32	в данном случае	15	2
33	и в другом	1	2
34	заключает в себе	4	2
35	в е годы	1	2
36	для того чтобы	1	2
37	в том числе	1	2
38	тем не менее	3	2
39	но при этом	3	2
40	на первом плане	1	2
41	не сводится к	6	2
42	том числе и	1	2
43	и в самом	1	2
44	к тому же	6	2
45	при этом он	1	2
46	в высшей степени	2	2
47	в известном смысле	1	2
48	никогда не было	1	2
49	но это не	1	2
50	в связи с	1	2
51	в одном из	1	2
52	в свою очередь	5	2
53	можно сказать что	1	2
54	том же году	1	2
55	и та же	1	2
56	все же не	1	2
57	на самом деле	4	2
58	не означает что	1	2
59	содержит в себе	1	2
60	так же как	1	2
61	не только в	3	2
62	но отнюдь не	1	2
63	как и у	2	2
64	мы узнаем что	1	2
65	подняв взор на	1	1
66	тогда как в	2	1
67	потому что я	1	1
68	в романе в	1	1
69	перед мысленным взором	1	1
70	как будто бы	3	1
71	не было в	1	1
72	человека в мире	1	1
73	имеет место в	1	1
74	и даже не	1	1
75	о том как	1	1
76	том смысле что	1	1
77	дело не только	1	1
78	называет себя в	1	1
79	в том например	1	1
80	отнюдь не сводится	1	1
81	в ответ на	1	1
82	ничего не говорит	1	1
83	то или иное	1	1
84	в этом месте	1	1
85	он не может	1	1
86	важно не только	2	1
87	можно читать как	1	1
88	в случае с	1	1
89	но на этот	1	1
90	и вследствие этого	4	1
91	в частности в	2	1
92	и мы не	1	1
93	друг на друга	2	1
94	как бы не	1	1
95	с самим собой	1	1
96	три года до	1	1
97	пространство и время	1	1
98	героя и героини	2	1
99	героя то есть	1	1
100	и тем самым	2	1
101	и прежде всего	1	1
102	следует рассматривать в	1	1
103	оставляя открытым вопрос	1	1
104	а с другой	3	1
105	у достоевского но	1	1
106	в первой главе	1	1
107	и того же	1	1
108	несмотря на его	1	1
109	означало бы что	1	1
110	и на другой	1	1
111	что это не	1	1
112	это означало бы	1	1
113	аналогичных действий в	1	1
114	на то чтобы	1	1
115	то же самое	2	1
116	к тому что	1	1
117	как мы узнаем	1	1
118	же время они	1	1
119	на наших глазах	1	1
120	на первый взгляд	3	1
121	войны и мира	5	1
122	взор на брата	1	1
123	и в этом	1	1
124	это то что	1	1
125	жизни то есть	1	1
126	собой не что	1	1
127	представляет собой не	1	1
128	того или иного	1	1
129	той или иной	4	1
130	мы понимаем что	1	1
131	к себе в	1	1
132	и у чехова	1	1
133	только в двух	1	1
134	смысл и цель	1	1
135	и особенно в	1	1
136	прежде всего на	2	1
137	отнюдь не означает	1	1
138	но и в	3	1
139	на второй план	1	1
140	определить его место	1	1
141	как и для	3	1
142	в том смысле	1	1
143	от себя лично	1	1
144	что он из	1	1
145	это своего рода	3	1
146	так и не	4	1
147	за три года	1	1
148	но в целом	1	1
149	что же касается	2	1
150	к единению с	1	1
151	с одной стороны	9	1
152	действительной жизни и	1	1
153	и даже в	1	1
154	в настоящее время	1	1
155	в отказе от	1	1
156	не должен быть	1	1
157	к которым приводит	1	1
158	тем что они	1	1
159	не что иное	1	1
160	в войне и	2	1
161	объясняется тем что	1	1
162	героя и на	1	1
163	за собой лишь	1	1
164	можно было бы	2	1
165	с установкой на	2	1
166	терпеть не может	1	1
167	только потому что	1	1
168	имеют для них	1	1
169	и это не	1	1
170	при этом сам	1	1
171	в этом случае	1	1
172	в поле зрения	1	1
173	означает ли это	1	1
174	не зависит от	2	1
175	же как и	1	1
176	одного и того	1	1
177	у древних греков	1	1
178	одна и та	1	1
179	что иное как	1	1
180	персонажей но и	1	1
181	однако и он	1	1
182	искать ключ к	1	1
183	не только с	1	1
184	это и есть	1	1
185	приняв на себя	1	1
186	как уже говорилось	1	1
187	да потому что	1	1
188	мы не можем	1	1
189	если бы он	1	1
190	если бы не	1	1
