N	2gram	Nazirov_Tv	Stilisti
1	и в	40	42
2	как бы	26	30
3	не только	16	28
4	прежде всего	10	22
5	хотя бы	5	18
6	то же	19	16
7	но и	10	16
8	и не	12	14
9	может быть	11	13
10	не может	9	13
11	как и	16	12
12	мы уже	2	11
13	в этом	11	10
14	в себе	3	10
15	и как	5	10
16	общественной жизни	1	10
17	мы должны	1	10
18	как мы	1	10
19	отнюдь не	9	10
20	мы не	3	9
21	при этом	14	9
22	все же	9	9
23	эти слова	3	9
24	то что	9	9
25	в то	23	9
26	таким образом	14	8
27	так как	6	8
28	с тем	1	8
29	и это	2	8
30	в ней	2	8
31	тем самым	10	8
32	что же	1	8
33	с его	12	8
34	ничего не	3	8
35	и на	12	7
36	так и	5	7
37	только в	7	7
38	в которой	5	7
39	и его	14	7
40	потому что	10	7
41	и тем	2	7
42	же время	18	7
43	было бы	2	7
44	той же	4	7
45	и от	8	7
46	а не	9	7
47	никогда не	13	7
48	во всех	2	6
49	в его	19	6
50	не в	3	6
51	в нем	4	6
52	в конце	5	6
53	в процессе	3	6
54	но ведь	2	6
55	на его	4	6
56	в свою	8	6
57	с помощью	1	6
58	если б	1	6
59	в этой	7	6
60	точку зрения	1	6
61	или иной	1	6
62	язык в	1	6
63	в области	1	6
64	в самом	6	5
65	то есть	16	5
66	уже в	5	5
67	и их	2	5
68	не является	3	5
69	все время	3	5
70	самом деле	4	5
71	но все	1	5
72	и с	9	5
73	но в	11	5
74	тому что	2	5
75	мы никогда	1	5
76	вместе с	4	5
77	того или	1	5
78	а с	4	5
79	слова и	1	5
80	как это	2	5
81	и является	1	5
82	а в	10	5
83	у которого	1	5
84	же самое	1	5
85	художественного творчества	1	5
86	в сознании	1	5
87	или иного	1	5
88	и наконец	3	5
89	мы видели	1	5
90	и к	1	4
91	мы видим	3	4
92	один из	5	4
93	того времени	1	4
94	что это	1	4
95	на него	2	4
96	что такое	1	4
97	все это	14	4
98	в качестве	2	4
99	или иную	1	4
100	в одном	3	4
101	влияние на	3	4
102	его в	2	4
103	если бы	4	4
104	и все	6	4
105	с самого	3	4
106	так сказать	4	4
107	у нас	2	4
108	да и	1	4
109	как только	1	4
110	уже не	6	4
111	к тому	2	4
112	о том	9	4
113	и без	2	4
114	человека не	1	4
115	той или	1	4
116	самого начала	3	4
117	в каждом	4	4
118	можно сказать	2	4
119	если мы	1	4
120	было в	2	4
121	не существует	3	4
122	так называемой	1	4
123	ту или	1	4
124	о своей	1	4
125	заключает в	1	4
126	не что	1	4
127	можно было	1	4
128	свою очередь	2	4
129	или иное	1	4
130	в обществе	1	4
131	так же	6	4
132	лишь в	1	4
133	в целом	7	4
134	себя в	3	4
135	само собой	1	4
136	точка зрения	2	4
137	не просто	1	4
138	то или	1	4
139	того что	3	4
140	не к	2	4
141	не так	5	3
142	ответ на	1	3
143	что оно	2	3
144	общества и	1	3
145	и здесь	2	3
146	та же	4	3
147	что у	5	3
148	приближается к	1	3
149	если он	4	3
150	и вот	2	3
151	которое может	1	3
152	в том	13	3
153	для него	9	3
154	хотя и	5	3
155	ни на	3	3
156	в ее	3	3
157	то мы	1	3
158	на самом	3	3
159	и уже	1	3
160	что и	3	3
161	в виду	3	3
162	быть может	3	3
163	между ними	1	3
164	но что	1	3
165	с генералом	1	3
166	только он	1	3
167	связи с	2	3
168	и даже	8	3
169	здесь мы	2	3
170	в основе	3	3
171	жизни это	1	3
172	сознания не	1	3
173	вряд ли	2	3
174	все эти	3	3
175	как в	10	3
176	по своему	1	3
177	уважение к	1	3
178	том что	14	3
179	вследствие этого	1	3
180	роль в	2	3
181	об этом	4	3
182	конце концов	1	3
183	перед нами	3	3
184	еще не	5	3
185	до того	1	3
186	но при	1	3
187	его и	2	3
188	то он	1	3
189	нуждается в	2	3
190	а к	1	3
191	в котором	8	3
192	в устах	2	3
193	ведь в	1	3
194	если не	4	3
195	и поэтому	2	3
196	между тем	2	3
197	во второй	3	3
198	не знает	2	3
199	в частности	4	3
200	только на	2	3
201	через нее	1	3
202	связь между	1	3
203	о своем	1	3
204	в начале	2	3
205	целый ряд	1	3
206	перед ним	1	3
207	их в	1	3
208	иван петрович	1	3
209	заметить что	1	3
210	нет и	1	3
211	когда личность	1	3
212	не будет	2	3
213	сказать что	3	3
214	главным образом	1	3
215	жизни и	3	3
216	слово и	1	3
217	этого слова	1	3
218	не мог	3	3
219	это не	9	3
220	из них	4	3
221	и ту	1	2
222	был и	1	2
223	находятся в	1	2
224	для всех	1	2
225	в душе	4	2
226	и он	4	2
227	и этот	1	2
228	на эти	2	2
229	что иное	1	2
230	же самая	2	2
231	человеческой истории	2	2
232	должно быть	1	2
233	нас не	1	2
234	зависит от	4	2
235	и вследствие	2	2
236	теперь же	1	2
237	языком с	1	2
238	был бы	3	2
239	с развитием	1	2
240	и потому	4	2
241	мы имеем	1	2
242	еще более	3	2
243	с самим	1	2
244	ни к	2	2
245	глаза и	1	2
246	и сознание	1	2
247	человек с	2	2
248	с ним	4	2
249	кроме того	1	2
250	о чем	1	2
251	для них	2	2
252	в отношении	1	2
253	с другими	1	2
254	будет иметь	1	2
255	иными словами	2	2
256	как нечто	1	2
257	с собой	1	2
258	но это	10	2
259	слова не	2	2
260	ни слова	1	2
261	в их	5	2
262	к достижению	2	2
263	а на	1	2
264	связь с	3	2
265	от их	1	2
266	одну и	1	2
267	в своих	8	2
268	не было	3	2
269	на этот	3	2
270	материал для	1	2
271	из героев	1	2
272	или в	2	2
273	том же	3	2
274	не обладает	1	2
275	к чему	1	2
276	с ней	1	2
277	всех его	1	2
278	равно как	1	2
279	но эта	3	2
280	жизни своей	1	2
281	но не	7	2
282	тем что	2	2
283	из всего	1	2
284	он говорит	3	2
285	на наш	1	2
286	это выражение	1	2
287	я и	3	2
288	в жизни	3	2
289	в связи	2	2
290	ясно что	1	2
291	что он	11	2
292	или даже	2	2
293	не есть	2	2
294	в своей	8	2
295	человеком в	1	2
296	в мире	8	2
297	бы нам	1	2
298	на эту	4	2
299	в этих	2	2
300	сделать его	1	2
301	ли не	3	2
302	и сам	5	2
303	связанные с	1	2
304	и жизнь	1	2
305	я считаю	1	2
306	в действительной	1	2
307	ли он	1	2
308	связанный с	1	2
309	не нужно	2	2
310	тому же	2	2
311	должен быть	1	2
312	но мы	1	2
313	это само	1	2
314	на первый	1	2
315	сих пор	1	2
316	связано с	1	2
317	в дальнейшем	7	2
318	первый взгляд	1	2
319	с этим	2	2
320	сознании человека	1	2
321	нет ничего	1	2
322	и ивана	1	2
323	к этому	4	2
324	бы не	1	2
325	человека в	9	2
326	вошел в	1	2
327	бы и	1	2
328	находит свое	1	2
329	между собой	2	2
330	видим что	1	2
331	не поняв	1	2
332	со всех	1	2
333	даже и	1	2
334	из этих	1	2
335	его не	1	2
336	не должен	1	2
337	и ни	1	2
338	также и	1	2
339	представляет собой	4	2
