N	4gram	Voloshinov	Dialekti
1	не что иное как	1	18
2	в то же время	7	14
3	одно и то же	3	12
4	одна и та же	1	8
5	не говоря уже о	1	7
6	в коем случае не	1	6
7	ни в коем случае	2	6
8	одной и той же	2	5
9	с этой точки зрения	1	4
10	в связи с этим	3	4
11	с одной стороны и	1	4
12	с точки зрения самого	2	3
13	несмотря на то что	1	3
14	на самом же деле	5	3
15	мы можем сказать что	1	3
16	это значит что в	1	3
17	но в то же	6	3
18	ни к чему не	1	2
19	с той или иной	1	2
20	говоря уже о том	1	2
21	дело в том что	1	2
22	не с точки зрения	1	2
23	ничего не имеет общего	1	2
24	уже о том что	1	2
25	тем не менее в	1	2
26	так же как и	2	2
27	никогда не может быть	1	1
28	это было так то	1	1
29	именно в том что	1	1
30	но тем не менее	1	1
31	как мы уже сказали	1	1
32	не понимают и не	1	1
33	в жизни и в	1	1
34	до тех пор пока	2	1
35	с их точки зрения	1	1
36	все более и более	2	1
37	же в таком случае	1	1
38	не нуждаются ни в	1	1
39	– это и есть	2	1
40	взятая сама по себе	1	1
41	если бы это было	1	1
42	между внутренним и внешним	1	1
43	как бы ни была	1	1
44	лежащая в ее основе	1	1
45	бы то ни было	11	1
46	если бы они были	1	1
47	значением в отличие от	1	1
48	как же может быть	1	1
49	на самом деле ничего	1	1
50	различие внутреннего и внешнего	1	1
51	самом деле ничего не	1	1
52	не имеет общего с	1	1
53	точки зрения она не	1	1
54	до сих пор не	1	1
55	и в том что	1	1
56	лишь с точки зрения	3	1
57	все то же самое	1	1
58	от внутреннего к внешнему	1	1
59	сказать что почти все	1	1
60	но что же такое	1	1
61	можно сказать что почти	1	1
62	до сих пор мы	1	1
63	не было бы в	1	1
64	наука до сих пор	1	1
65	и не может быть	5	1
66	можно прямо сказать что	1	1
67	не чем иным как	1	1
68	отчет в том что	1	1
69	в том что он	3	1
70	и неотделим от нее	1	1
71	так а не иначе	1	1
72	и с точки зрения	1	1
73	во-первых с точки зрения	1	1
74	и пр и пр	5	1
75	приводит к тому что	1	1
76	и не нуждаются ни	1	1
77	в нем нет никакого	1	1
78	лежащая в основе всех	1	1
79	в самом деле если	2	1
