N	3gram	Propp_Morf	Hudozhes
1	по отношению к	7	10
2	в том что	4	8
3	в то же	1	7
4	то же время	1	7
5	с другой стороны	5	6
6	более или менее	2	6
7	той или иной	1	5
8	для того чтобы	3	5
9	состоит в том	3	5
10	не может быть	9	4
11	мы имеем в	2	3
12	с точки зрения	6	3
13	тем не менее	6	3
14	можно сказать что	1	3
15	и то же	1	3
16	одно и то	1	3
17	подобно тому как	5	3
18	в связи с	9	3
19	с одной стороны	2	3
20	в свою очередь	1	2
21	бы то ни	3	2
22	до известной степени	1	2
23	этой точки зрения	1	2
24	с этой точки	1	2
25	во всех подобных	1	2
26	с ними и	1	2
27	в коем случае	1	2
28	в таком случае	1	2
29	в противном случае	1	2
30	всех подобных случаях	1	2
31	ни в коем	1	2
32	тех или иных	1	2
33	том что он	1	2
34	что в основе	1	2
35	то ни было	2	2
36	к тому что	4	2
37	приводит к тому	1	2
38	может быть названо	4	2
39	коем случае не	1	2
40	может быть и	2	2
41	точно так же	2	1
42	на вопрос что	1	1
43	может быть определен	1	1
44	для героя и	1	1
45	к чему не	2	1
46	лежат в основе	1	1
47	тысяча и одна	1	1
48	из этих двух	1	1
49	о том что	3	1
50	дело не в	2	1
51	как и в	3	1
52	в е годы	1	1
53	а в другом	1	1
54	как один из	1	1
55	в таких случаях	2	1
56	на свое место	1	1
57	тем и другим	2	1
58	который может быть	1	1
59	связи с этим	5	1
60	в этих случаях	14	1
61	в настоящее время	3	1
62	в то время	3	1
63	во втором случае	1	1
64	это не форма	1	1
65	с этой моделью	1	1
66	с первых же	1	1
67	в том случае	3	1
68	в иных случаях	2	1
69	не что иное	2	1
70	и одна ночь	1	1
71	а и в	1	1
72	иметь в виду	1	1
73	таким образом что	1	1
74	случае если он	1	1
75	только во втором	1	1
76	соединению с другими	1	1
77	в том или	1	1
78	к другому что	1	1
79	в этом случае	10	1
80	бы они ни	1	1
81	во всей своей	1	1
82	они ни были	1	1
83	она могла бы	1	1
84	есть не что	1	1
85	что они хотят	1	1
86	случаи когда герой	1	1
87	не могут быть	4	1
88	в качестве его	1	1
89	на первый взгляд	3	1
90	не входит в	2	1
91	том случае если	2	1
92	в лес но	1	1
93	что иное как	2	1
94	к вопросу о	2	1
95	ни к чему	2	1
96	как бы в	1	1
97	в одном случае	1	1
98	это необходимо для	1	1
99	то что они	1	1
100	является одним из	1	1
101	эти могут быть	1	1
102	что несмотря на	1	1
103	и в этой	1	1
104	это было бы	1	1
