N	2gram	Tiupa_Hudo	UchenyiS
1	и в	23	14
2	не только	20	10
3	а не	13	10
4	и не	16	8
5	прежде всего	5	8
6	то что	5	7
7	в этом	12	7
8	не может	9	7
9	может быть	19	6
10	эстетического объекта	4	6
11	в искусстве	9	6
12	то же	12	5
13	художественного творчества	6	5
14	в художественном	5	5
15	все это	2	5
16	художественное произведение	3	5
17	в конечном	5	4
18	с другой	9	4
19	в этой	2	4
20	конечном счете	5	4
21	что такое	2	4
22	но и	14	4
23	в их	5	4
24	бы то	2	3
25	было бы	1	3
26	и то	4	3
27	и формы	1	3
28	только к	1	3
29	или точнее	1	3
30	истории литературы	2	3
31	как такового	1	3
32	и т.д	4	3
33	для этого	1	3
34	произведения искусства	4	3
35	это не	4	3
36	как и	3	3
37	то ни	2	3
38	для него	5	3
39	в своей	7	3
40	все же	1	3
41	ни было	2	3
42	в области	8	3
43	в частности	18	3
44	в то	8	3
45	не как	2	3
46	у нас	1	3
47	пришлось бы	1	3
48	другой стороны	6	3
49	не следует	4	3
50	но в	10	3
51	же время	7	3
52	этого термина	2	2
53	все они	1	2
54	художественной формы	1	2
55	таким образом	3	2
56	в самом	7	2
57	если не	1	2
58	в противном	2	2
59	могли бы	1	2
60	если бы	3	2
61	самом деле	2	2
62	могут быть	5	2
63	не в	9	2
64	ни от	1	2
65	это было	1	2
66	бы и	1	2
67	для всех	1	2
68	же самое	1	2
69	одним из	2	2
70	крайней мере	1	2
71	но не	13	2
72	тем что	1	2
73	более чем	1	2
74	в себе	13	2
75	в его	11	2
76	искусства как	3	2
77	в конце	1	2
78	материала и	1	2
79	говоря иначе	2	2
80	между тем	4	2
81	что она	2	2
82	не есть	1	2
83	художественного произведения	4	2
84	что он	5	2
85	на каждом	1	2
86	в широком	1	2
87	при таком	1	2
88	противном случае	2	2
89	о чем	3	2
90	художественном произведении	1	2
91	как раз	3	2
92	тех или	2	2
93	не могут	1	2
94	а как	1	2
95	сводится к	11	2
96	в том	20	2
97	том что	9	2
98	и через	1	2
99	или иных	2	2
100	художественного задания	1	2
101	художественных произведений	1	2
102	этом смысле	3	2
103	и для	3	2
104	в системе	3	2
105	в итоге	2	2
106	и является	1	2
107	что и	2	2
108	к области	3	2
109	в сторону	2	2
110	не столько	7	2
111	не случайно	3	2
112	с его	6	2
113	превращается в	2	2
114	на первый	1	2
115	по крайней	1	2
116	только в	7	2
117	по себе	2	2
118	что все	1	2
119	не все	2	2
120	еще один	2	1
121	первый взгляд	1	1
122	и некоторыми	1	1
123	в той	3	1
124	и исторически	1	1
125	было и	2	1
126	само же	1	1
127	что в	7	1
128	ряда и	1	1
129	героя не	1	1
130	с которыми	1	1
131	иначе говоря	5	1
132	художественного восприятия	4	1
133	не было	1	1
134	эстетический объект	4	1
135	так или	4	1
136	и даже	1	1
137	содержания в	1	1
138	более или	6	1
139	эстетической реальности	2	1
140	всего что	1	1
141	первую очередь	1	1
142	и потому	2	1
143	поэтикой и	1	1
144	частности все	1	1
145	но он	3	1
146	эстетического восприятия	1	1
147	этом случае	1	1
148	единицы и	1	1
149	в свое	1	1
150	в которой	3	1
151	автор видит	1	1
152	все и	1	1
153	имеем в	3	1
154	можно сказать	6	1
155	своим единственным	1	1
156	и возможностей	1	1
