N	4gram	Tiupa_Lite	Psycholo
1	с этой точки зрения	3	10
2	одно и то же	1	7
3	в том что он	1	7
4	до тех пор пока	2	6
5	одним и тем же	1	4
6	все более и более	1	4
7	в том что в	1	4
8	одного и того же	1	4
9	состоит в том что	6	4
10	в то же время	12	3
11	дело в том что	2	3
12	состоит в том чтобы	1	3
13	в том что при	1	2
14	поскольку речь идет о	2	2
15	искусства с точки зрения	1	2
16	во всяком случае в	1	2
17	с другой стороны он	1	2
18	в конечном счете к	1	2
19	только в том что	2	2
20	с одной стороны и	1	2
21	и не может быть	1	2
22	мы никогда не можем	1	2
23	бы то ни было	1	2
24	приводит к тому что	1	2
25	именно в том что	1	1
26	произведения искусства с точки	1	1
27	когда речь идет о	1	1
28	в том что для	1	1
29	тем что в ней	1	1
30	речь в данном случае	1	1
31	в том что эстетическая	1	1
32	в том что искусство	1	1
33	уже в первой главе	1	1
34	не может и не	1	1
35	например с точки зрения	1	1
36	пример в этом отношении	1	1
37	которые не могут быть	1	1
38	обстоит дело и с	1	1
39	какой бы то ни	1	1
40	мы имеем дело с	1	1
