N	2gram	Berdyaev_N	Myshleni
1	в том	8	195
2	в этом	7	167
3	то что	4	166
4	и в	16	162
5	том что	2	161
6	что в	9	119
7	не только	5	116
8	так же	2	100
9	потому что	4	95
10	того чтобы	2	91
11	может быть	7	89
12	что он	1	86
13	не может	16	81
14	как и	7	79
15	для того	1	78
16	так как	1	78
17	и не	11	78
18	только в	1	75
19	но и	3	70
20	в его	1	67
21	сказать что	3	65
22	вместе с	2	62
23	и что	2	60
24	было бы	1	60
25	в основе	3	58
26	в силу	1	53
27	что мы	1	53
28	в самом	1	52
29	в сущности	1	51
30	мы должны	1	50
31	к тому	3	49
32	тем что	1	48
33	мы не	2	47
34	но не	2	45
35	с другой	3	45
36	с тем	3	43
37	же как	2	43
38	как это	2	42
39	о том	4	40
40	по своей	1	40
41	одной стороны	2	40
42	никогда не	6	39
43	с одной	2	39
44	так и	2	39
45	в области	1	38
46	и к	5	37
47	вопрос о	3	37
48	не в	6	37
49	в этой	1	37
50	в своем	1	36
51	все эти	2	36
52	как в	3	36
53	а не	17	36
54	и его	1	36
55	того же	1	35
56	можно было	2	35
57	в себе	2	35
58	в которой	1	35
59	он не	8	35
60	для себя	1	35
61	приводит к	1	34
62	прежде всего	4	33
63	по себе	1	33
64	и на	2	32
65	нас к	1	32
66	по своему	4	32
67	но в	2	32
68	мысли и	2	30
69	могут быть	2	29
70	от того	1	29
71	с этим	2	28
72	переход от	1	28
73	другой стороны	2	27
74	в то	2	27
75	и с	2	27
76	в своей	3	27
77	что все	2	27
78	мысли в	2	26
79	в чем	1	25
80	что она	2	25
81	еще не	3	25
82	уже в	1	25
83	все это	5	25
84	можно сказать	1	25
85	мы уже	1	25
86	это не	4	25
87	в смысле	2	24
88	зависимости от	1	24
89	в нем	5	24
90	в высшей	6	24
91	друг друга	1	23
92	ни в	6	23
93	слова в	1	23
94	во всяком	1	22
95	не могут	1	22
96	то время	1	22
97	в известном	1	22
98	в зависимости	1	22
99	высшей степени	6	22
100	все время	2	21
101	и все	4	21
102	не имеет	4	21
103	в истории	3	21
104	и более	1	21
105	в виду	1	20
106	не менее	4	20
107	в котором	1	20
108	к которому	1	20
109	из них	1	20
110	время как	2	20
111	из этих	1	20
112	к внутренней	1	20
113	в такой	1	20
114	а в	2	20
115	говорит что	1	20
116	должно быть	4	20
117	по существу	2	20
118	и их	1	20
119	во всех	3	19
120	но если	1	19
121	в той	1	19
122	как на	1	19
123	с ним	1	19
124	во всем	1	18
125	одного и	1	18
126	но это	6	18
127	в отличие	1	18
128	отличие от	1	18
129	этом смысле	2	18
130	всяком случае	1	18
131	в этих	1	17
132	показал что	1	17
133	их в	1	17
134	я не	2	17
135	не есть	3	17
136	сих пор	1	17
137	до сих	1	17
138	о природе	1	17
139	в свою	1	17
140	и для	4	17
141	для этого	2	17
142	все что	1	17
143	и того	1	17
144	у него	2	17
145	и от	2	17
146	и есть	10	17
147	и только	1	17
148	своей природе	1	16
149	раньше чем	1	16
150	бы сказать	1	16
151	значение в	1	16
152	к одному	1	16
153	такой же	2	16
154	и даже	2	16
155	тому как	3	16
156	в них	4	15
157	вопрос об	1	15
158	от этого	1	15
159	и это	2	15
160	подобно тому	3	15
161	хотя бы	2	15
162	известном смысле	1	15
163	значит что	4	15
164	вообще не	1	15
165	это значит	1	14
166	который в	2	14
167	это есть	7	14
168	переходе от	2	14
169	когда мы	2	14
170	значение для	1	14
171	и во	1	14
172	с его	6	14
173	же мере	1	14
174	своем развитии	1	13
175	с другими	1	13
176	смысле слова	3	13
177	они не	1	13
178	она не	3	13
179	человека и	3	13
180	для всех	1	13
181	но все	1	13
182	связана с	2	13
183	в состоянии	1	13
184	лишь в	6	13
185	все более	1	13
186	совершается в	1	13
187	том чтобы	2	12
188	но он	1	12
189	за пределы	3	12
190	с их	2	12
191	и потому	4	12
192	к нему	1	12
193	в ее	3	12
194	это и	2	12
195	в ней	5	12
196	они являются	1	11
197	не столько	1	11
198	с собой	1	11
199	не могли	2	11
200	не означает	3	11
201	мы всегда	1	11
202	с ее	5	11
203	в каком	1	11
204	есть в	2	11
205	не по	1	11
206	к образованию	2	11
207	что этот	1	11
208	вот почему	2	11
209	наряду с	3	11
210	не знает	6	11
211	в конце	1	11
212	он в	1	11
213	во внешней	1	11
214	нуждается в	1	11
215	мысли как	1	10
216	в основу	1	10
217	но для	2	10
218	что такое	3	10
219	у нас	1	10
220	перейти к	3	10
221	числе и	1	10
222	из всех	1	10
223	и которые	1	10
224	и т.п	2	10
225	к жизни	3	10
226	что его	1	10
227	и у	1	10
228	вопроса о	1	10
229	том числе	1	10
230	потребность в	1	10
231	своему строению	1	10
232	и до	1	9
233	связано с	1	9
234	должны быть	1	9
235	оно не	1	9
236	зависит от	2	9
237	движение от	2	9
238	и заключается	2	9
239	в новой	7	9
240	а по	1	9
241	не с	1	9
242	место в	2	9
243	к этой	1	9
244	только для	1	9
245	говорить о	1	9
246	установить что	1	9
247	мы в	1	9
248	мы говорим	2	9
249	оно есть	1	9
250	еще в	1	9
251	такого рода	2	9
252	он может	1	9
253	хотя и	2	9
254	переход к	2	9
255	должен быть	5	9
256	в этот	1	8
257	в эту	1	8
258	обратиться к	1	8
259	от нее	1	8
260	мысли но	1	8
261	себе и	1	8
262	во время	1	8
263	и из	1	8
264	не на	1	8
265	в более	1	8
266	что не	1	8
267	для решения	1	7
268	в значительной	1	7
269	связаны с	2	7
270	на место	1	7
271	к вопросу	1	7
272	одну из	1	7
273	мышления не	1	7
274	которая в	1	7
275	в жизни	5	7
276	не существует	3	7
277	и вместе	1	7
278	самый процесс	2	7
279	и особенно	1	7
280	должна быть	3	7
281	не имеют	2	7
282	ничем не	1	7
283	а также	1	7
284	основе их	1	7
285	вопросу о	1	6
286	в природе	2	6
287	к ней	1	6
288	уже не	2	6
289	как например	1	6
290	распадается на	1	6
291	и мы	4	6
