N	3gram	Voloshinov	Morfolog
1	мы видим что	2	11
2	в этом случае	3	10
3	не может быть	2	9
4	в связи с	2	9
5	таким образом мы	1	7
6	по отношению к	2	7
7	мы увидим ниже	1	6
8	с точки зрения	5	6
9	тем не менее	1	6
10	связи с этим	2	5
11	как мы увидим	2	5
12	с другой стороны	1	5
13	в том что	1	4
14	независимо от того	1	4
15	на самом деле	3	4
16	к тому что	2	4
17	но все же	3	4
18	в большинстве случаев	1	3
19	о том что	2	3
20	в собственном смысле	1	3
21	как и в	1	3
22	для того чтобы	7	3
23	мы приходим к	1	3
24	на первый взгляд	2	3
25	собственном смысле слова	1	3
26	к чему не	2	2
27	ни к чему	2	2
28	образом мы приходим	1	2
29	до наших дней	1	2
30	мы увидим что	2	2
31	можно заметить что	1	2
32	более или менее	1	2
33	для наших целей	2	2
34	не что иное	2	2
35	это еще не	1	2
36	можно было бы	1	2
37	мы уже видели	3	2
38	мы имеем в	1	2
39	которое может быть	3	2
40	тех случаях когда	2	2
41	что иное как	2	2
42	в тех случаях	2	2
43	в этом отношении	2	2
44	вопрос о том	1	2
45	но то что	1	1
46	есть не что	2	1
47	целый ряд вопросов	1	1
48	как же быть	1	1
49	в свою очередь	4	1
50	мы уже знаем	1	1
51	это будет видно	1	1
52	том что такое	1	1
53	но об этом	2	1
54	это дает нам	1	1
55	с другими формами	1	1
56	то для того	1	1
57	может как бы	1	1
58	можно сказать что	2	1
59	но чаще всего	1	1
60	только в том	1	1
61	можно говорить лишь	1	1
62	в форме диалога	1	1
63	как таковое не	1	1
64	в то же	9	1
65	но и его	1	1
66	тех или иных	3	1
67	в качестве примера	1	1
68	и то же	5	1
69	на этот вопрос	1	1
70	и ни к	1	1
71	как мы уже	3	1
72	дает нам возможность	1	1
73	мы будем говорить	2	1
74	до сих пор	1	1
75	двух точек зрения	1	1
76	же время и	1	1
77	иметь в виду	1	1
78	одно и то	5	1
79	в наши дни	1	1
80	той или иной	4	1
81	бросается в глаза	1	1
82	но если бы	1	1
83	задаваясь вопросом о	1	1
84	то что же	1	1
85	мы должны будем	1	1
86	с самого начала	4	1
87	в точном смысле	2	1
88	в высшей степени	1	1
89	хотя бы только	1	1
90	нужно помнить что	1	1
91	между тем в	1	1
92	уже видели в	1	1
93	мы увидим дальше	1	1
94	как бы в	3	1
95	то же время	7	1
96	более сложный случай	1	1
97	и этот момент	1	1
98	может иметь несколько	1	1
99	не задаваясь вопросом	1	1
100	уже не только	1	1
101	мы не можем	1	1
102	что несмотря на	1	1
103	если же он	1	1
104	ответ на него	1	1
105	но там оно	1	1
