N	3gram	Losev_Prob	VrazhdaK
1	в то же	4	4
2	в связи с	7	3
3	имел в виду	2	3
4	в том что	7	2
5	не может быть	5	2
6	но в то	1	2
7	как раз в	1	2
8	с точки зрения	3	2
9	и что в	2	2
10	и о том	3	2
11	только при помощи	1	1
12	это то что	4	1
13	не было бы	1	1
14	о котором уже	1	1
15	в полтаве пушкина	1	1
16	мыслей и чувств	1	1
17	а между тем	1	1
18	факт остается фактом	1	1
19	в то время	2	1
20	далеко не все	1	1
21	в конце концов	11	1
22	одно и то	1	1
23	это не просто	1	1
24	о том как	2	1
25	точно так же	7	1
26	так же как	2	1
27	но это не	1	1
28	на то что	12	1
29	по нашему мнению	1	1
30	и в то	1	1
31	записках из подполья	1	1
32	бы его в	1	1
33	не только от	1	1
34	по крайней мере	8	1
35	что в этой	1	1
36	в этом смысле	8	1
37	заключается в том	2	1
38	а с другой	1	1
39	что в нем	4	1
40	и то что	9	1
41	не только не	4	1
42	чтобы он стал	1	1
43	о том что	16	1
44	не имеет никаких	2	1
45	и это было	1	1
46	до сих пор	6	1
47	преступление и наказание	1	1
48	тех пор мы	1	1
49	то же только	1	1
50	в это время	1	1
51	на этот раз	2	1
52	есть еще один	1	1
53	в том же	1	1
54	или по крайней	4	1
55	был знаком и	1	1
56	во всяком случае	11	1
57	а следовательно и	1	1
58	в разные периоды	1	1
59	тем не менее	25	1
60	все равно не	1	1
61	года в москве	1	1
62	и в самом	2	1
63	на первый план	3	1
64	с другой стороны	7	1
65	в известном смысле	1	1
66	что это за	1	1
67	в литературе и	4	1
68	чуть было не	1	1
69	связи с этим	2	1
70	всего то что	1	1
71	в этой сцене	1	1
72	на первый взгляд	2	1
73	и то же	1	1
74	тем что он	2	1
75	в этом отношении	2	1
76	и что он	1	1
77	и не может	1	1
78	и в этом	5	1
79	может быть и	5	1
