N	3gram	Tiupa_Teor	KFilosof
1	по отношению к	10	22
2	не может быть	5	11
3	с точки зрения	3	10
4	отношению к нему	1	4
5	того или иного	6	3
6	в этом смысле	3	3
7	в данный момент	2	3
8	и не быть	1	2
9	в том что	10	2
10	эмоционально-волевое отношение к	1	2
11	той или иной	3	2
12	и для него	1	2
13	к чему не	1	2
14	он ни был	1	2
15	то или иное	1	2
16	имеем в виду	3	2
17	мы говорим о	1	2
18	она могла бы	1	2
19	тем не менее	3	2
20	здесь мы имеем	1	2
21	в то же	8	2
22	включает в себя	2	2
23	в соответствии с	2	2
24	во всей его	2	2
25	то ни было	2	2
26	ни к чему	1	2
27	бы то ни	2	2
28	для меня в	1	2
29	то же время	8	2
30	в свою очередь	3	1
31	и как бы	1	1
32	в данном контексте	2	1
33	но прежде всего	1	1
34	этом смысле можно	1	1
35	в конечном счете	6	1
36	по себе а	1	1
37	вмещает в себя	1	1
38	для меня эта	1	1
39	на задний план	1	1
40	в большинстве случаев	1	1
41	для себя а	1	1
42	в противоречие с	1	1
43	позицию по отношению	1	1
44	не содержит в	1	1
45	в себя и	1	1
46	то же самое	1	1
47	не была бы	1	1
48	это уже не	1	1
49	себя в другом	1	1
50	случае мы имеем	1	1
51	ту или иную	2	1
52	дело не в	1	1
53	в том случае	1	1
54	между ним и	1	1
55	для того чтобы	5	1
56	неслиянное и нераздельное	1	1
57	всей его полноте	1	1
58	в настоящее время	1	1
59	не совпадает с	1	1
60	мира и его	1	1
61	отношении к нему	1	1
62	одного и того	4	1
63	со всех сторон	1	1
64	точки зрения автора	1	1
65	в противном случае	2	1
66	и по отношению	1	1
67	входит в его	1	1
68	в которой я	1	1
69	вступает в противоречие	1	1
70	в мире других	1	1
71	своей причастности к	1	1
72	в первом случае	1	1
73	дело в том	1	1
74	по своей структуре	1	1
75	но в то	2	1
76	в лучшем случае	1	1
77	и не субъективно	1	1
78	в этом мире	2	1
79	и это существенно	1	1
80	и тем самым	2	1
81	и в то	2	1
82	не было и	1	1
83	лишь в момент	1	1
84	если он не	1	1
85	тем или иным	2	1
86	в зависимости от	1	1
87	смысле можно говорить	1	1
88	но не в	1	1
89	и того же	4	1
90	себя в своих	1	1
91	все с чем	1	1
92	не в одном	1	1
93	заключать в себе	1	1
94	возможна только в	1	1
95	но только не	1	1
96	вследствие того что	1	1
97	к тому что	2	1
98	весь мир все	1	1
99	однако по своей	1	1
100	на этом пути	1	1
101	в известном смысле	2	1
102	уже не мыслится	1	1
103	в одном случае	1	1
104	я в мире	8	1
105	это и есть	1	1
106	в значительной степени	2	1
107	мы имеем не	1	1
108	ведь это не	1	1
109	в основе своей	2	1
110	может быть и	2	1
