N	3gram	Propp_Russ	Tragedij
1	в том что	27	2
2	и как бы	1	2
3	бросается в глаза	3	2
4	точно так же	1	2
5	в данном случае	7	2
6	и в дальнейшем	1	2
7	о том что	6	2
8	но все же	2	2
9	в отличие от	4	2
10	и не случайно	1	2
11	не только по	2	1
12	играют никакой роли	1	1
13	в одном из	1	1
14	важнее для нас	1	1
15	а между тем	1	1
16	с тем и	3	1
17	как это часто	1	1
18	объясняется тем что	1	1
19	в применении к	1	1
20	не может быть	1	1
21	и т п	1	1
22	она как бы	1	1
23	в точности соответствует	1	1
24	и теперь еще	1	1
25	в этом случае	9	1
26	с того что	1	1
27	на стол все	1	1
28	и жизнь и	1	1
29	но и на	2	1
30	не играют никакой	1	1
31	у него нет	1	1
32	в таком виде	2	1
33	как и в	1	1
34	в связи с	4	1
35	этом случае как	1	1
36	во всяком случае	1	1
37	к тому что	4	1
38	не только сам	1	1
39	тем не менее	3	1
40	несмотря на все	1	1
41	в своей книге	1	1
42	то и дело	2	1
43	в этой связи	1	1
44	одном из своих	1	1
45	у себя на	1	1
46	это и есть	1	1
47	ко всему что	1	1
48	ее к себе	1	1
49	после того как	3	1
50	все же не	2	1
51	вплоть до xx	1	1
52	для нас другой	1	1
53	и в этом	2	1
