N	3gram	Medvedev_V	FransuaR
1	то же время	5	55
2	в то же	5	55
3	в том что	5	27
4	в том числе	2	27
5	до сих пор	2	27
6	но в то	1	20
7	в этом отношении	14	20
8	для того чтобы	3	17
9	том числе и	2	17
10	о том что	3	17
11	в связи с	4	16
12	большей или меньшей	3	16
13	но и в	1	15
14	в большей или	2	15
15	или меньшей степени	2	14
16	не может быть	8	13
17	с одной стороны	2	13
18	и в то	3	12
19	с другой стороны	8	12
20	в другом месте	2	12
21	все то что	1	11
22	как и все	1	11
23	можно сказать что	4	11
24	в той или	1	10
25	таким образом и	1	10
26	той или иной	1	10
27	в данном случае	1	10
28	в конце концов	2	10
29	не только в	2	10
30	мы видим что	1	9
31	по отношению к	7	9
32	таким образом в	2	8
33	более или менее	6	8
34	мы видели что	3	8
35	и др в	3	8
36	после того как	2	8
37	в самом деле	1	7
38	в то время	1	7
39	о том как	3	7
40	в чем же	2	7
41	можно было бы	2	7
42	подобно тому как	3	7
43	не подлежит сомнению	1	7
44	во всех этих	2	7
45	в значительной мере	3	7
46	во всех его	2	6
47	к тому же	1	6
48	но все же	1	6
49	имеем в виду	1	6
50	и во всех	1	6
51	даже и в	1	6
52	в свою очередь	1	6
53	это одна из	1	6
54	в новое время	1	6
55	одной стороны и	2	5
56	в применении к	1	5
57	некоторые из них	1	5
58	то же самое	1	5
59	по сравнению с	1	5
60	во всяком случае	2	5
61	в том же	1	5
62	прежде всего необходимо	1	5
63	только то что	2	5
64	это и есть	3	5
65	в этой системе	1	5
66	то что в	1	4
67	но даже и	1	4
68	для правильного понимания	1	4
69	дошедших до нас	1	4
70	точки зрения на	1	4
71	в системе образов	1	4
72	в одном из	4	4
73	не только для	2	4
74	на этот вопрос	1	4
75	так же как	1	4
76	также и в	2	4
77	может быть и	1	4
78	это вовсе не	1	4
79	и не может	2	4
80	и др но	1	3
81	в этом процессе	2	3
82	у него в	1	3
83	леонардо да винчи	1	3
84	в искусстве и	1	3
85	не только не	2	3
86	и др и	1	3
87	ни к какому	1	3
88	со всех сторон	1	3
89	вместе с тем	4	3
90	как мы знаем	1	3
91	у него был	1	3
92	как один из	1	3
93	все же не	1	3
94	но и для	1	3
95	в ту же	1	3
96	в этом смысле	1	3
97	тех или иных	1	3
98	говорит об этом	1	3
99	в году и	1	3
100	нет и не	1	3
101	может быть в	1	2
102	в частности к	2	2
103	и благодаря этому	1	2
104	в одном и	1	2
105	быть и речи	1	2
106	некоторые из этих	1	2
107	в том или	1	2
108	и в другом	2	2
109	с большей или	1	2
110	наконец и это	1	2
111	они не только	1	2
112	говорит о том	1	2
113	и его теории	1	2
114	и вместе с	1	2
115	между этими двумя	1	2
116	другой стороны в	1	2
117	мы полагаем что	1	2
118	и в каждой	1	2
119	по этому поводу	7	2
120	во всех других	1	2
121	все эти явления	2	2
122	и может быть	1	2
123	в том чтобы	2	2
124	но с более	1	2
125	подлежит сомнению что	1	2
126	и без того	1	2
127	именно в этом	1	2
128	главным образом в	1	2
129	он и не	1	2
130	хотя бы в	3	2
131	не могут быть	4	2
132	никогда не может	1	2
133	это как мы	1	2
134	том или ином	1	2
135	в конечном счете	5	2
136	сих пор не	1	2
137	в последнем счете	1	2
138	так и от	2	2
139	и есть то	1	2
140	но ни в	1	2
141	мы знаем что	2	2
142	к этому и	1	2
143	но по существу	1	2
144	только в пределах	1	2
145	каждый из них	1	2
146	и по отношению	1	2
147	после всего сказанного	1	2
148	только тогда когда	1	2
149	теми или иными	1	2
150	можно определить как	2	2
151	ничего общего с	1	2
152	за его счет	1	2
153	мы встречаемся с	1	2
154	значительной мере и	1	2
155	того как он	1	2
156	в этом случае	1	2
157	же как и	1	2
158	мы не будем	1	2
159	главным образом на	1	2
160	еще и не	2	2
161	в едином и	1	1
162	над войной и	1	1
163	следует однако отметить	1	1
164	но ведь это	1	1
165	все это мы	1	1
166	искусстве и в	1	1
167	как будто бы	1	1
168	художественное творчество и	1	1
169	есть в конечном	1	1
170	эти образы из	1	1
171	в соответствии с	1	1
172	и связанное с	1	1
173	из рыцарских времен	1	1
174	однако отметить что	1	1
175	что все они	1	1
176	плоть и кровь	1	1
177	не в этом	1	1
178	один из них	1	1
179	очень богатой и	1	1
180	для проникновения в	1	1
181	области художественного творчества	1	1
182	как пародия на	2	1
183	даже в этой	1	1
184	хотя бы и	5	1
185	не могут иметь	1	1
186	в таких же	1	1
187	таким образом уже	1	1
188	очень важную в	1	1
189	стадиях своего развития	1	1
190	него еще в	1	1
191	к религии и	1	1
192	далеко не всегда	1	1
193	что для того	1	1
194	что в них	1	1
195	целом но и	1	1
196	в послании к	1	1
197	кроме того что	1	1
198	не было еще	1	1
199	в этом плане	1	1
200	в нескольких вариантах	1	1
201	том же духе	1	1
202	а потому и	1	1
203	чем иным как	1	1
204	но вместе с	1	1
205	как если бы	1	1
206	и связанный с	1	1
207	в качестве оружия	1	1
208	примеров можно было	1	1
209	все это не	1	1
210	об этом свидетельствует	1	1
211	чрезвычайно разнообразны они	1	1
212	даже и не	1	1
213	в художественном произведении	4	1
214	можно так выразиться	1	1
215	и целого ряда	1	1
216	войны и мира	1	1
217	тех явлений которые	1	1
218	и пытается вскрыть	1	1
219	утверждает что все	1	1
220	чуть ли не	2	1
221	и том же	2	1
222	он говорит и	1	1
223	интересно сопоставить эти	1	1
224	имеются в виду	1	1
225	в силу того	1	1
226	и мира в	1	1
227	в этом же	1	1
228	как это было	1	1
229	в его творческом	2	1
230	сцен из рыцарских	1	1
231	в науке и	1	1
232	а между тем	1	1
233	же время она	1	1
234	как составная часть	1	1
235	только в единстве	1	1
236	его сущность его	1	1
237	в образе в	1	1
238	в ее основных	1	1
239	необходимо подчеркнуть что	1	1
240	в результате этого	1	1
241	этому вопросу и	1	1
242	нет никаких оснований	2	1
243	в художественном творчестве	5	1
244	и есть в	1	1
245	том можно ли	1	1
246	одной из этих	1	1
247	строго говоря только	1	1
248	смысле слова не	1	1
249	все это только	2	1
250	одном и том	2	1
251	комедия дель арте	1	1
252	в их сознании	1	1
253	года в году	1	1
254	из этих элементов	1	1
255	то или иное	1	1
256	только в искусстве	1	1
257	в свете этих	1	1
258	в виду что	1	1
259	к этому типу	1	1
260	было бы чрезвычайно	1	1
261	те из них	2	1
262	том случае если	1	1
263	было бы совершенно	1	1
264	та или иная	3	1
265	но к тому	1	1
266	и ее событий	1	1
267	самых ранних стадиях	1	1
268	все его внимание	1	1
269	нет ни одного	1	1
270	о том можно	1	1
271	если бы он	1	1
272	в плоть и	1	1
273	что он не	1	1
274	является таким образом	1	1
275	хотя может быть	1	1
276	имеет ничего общего	1	1
277	в области художественного	1	1
278	бы и не	3	1
279	не один раз	1	1
280	и не быть	1	1
281	и в системе	1	1
282	всех его элементах	2	1
283	тому же выводу	1	1
284	начале этой главы	1	1
285	есть то что	1	1
286	оно может быть	1	1
287	таким образом не	3	1
288	в риме во	1	1
289	именно к этому	1	1
290	в нем свое	1	1
291	в пределах своей	4	1
292	книг таким образом	1	1
293	а как бы	1	1
294	и многих других	1	1
295	не в том	2	1
296	в следующих словах	1	1
297	на него со	1	1
298	того что не	1	1
299	что один из	1	1
300	сами по себе	1	1
301	но к ним	1	1
302	слова все это	1	1
303	что для него	1	1
304	в том случае	1	1
305	xvi в в	1	1
306	другом месте в	1	1
307	не чем иным	1	1
308	у некоторых писателей	1	1
309	что все эти	2	1
310	только в году	1	1
311	в нем уже	1	1
312	в зависимости от	5	1
313	бросается в глаза	1	1
314	если можно так	1	1
315	что они не	1	1
316	в частности из	1	1
317	из них не	2	1
318	действительности каждый образ	1	1
319	не имеет ничего	1	1
320	образы и сюжеты	1	1
321	в художественном образе	1	1
322	в частности в	2	1
323	и др таким	1	1
324	в конце года	1	1
325	только со своими	1	1
326	в точном смысле	2	1
327	то что из	1	1
328	том что оно	1	1
329	лицом к лицу	1	1
330	самого автора а	1	1
331	хотя оно и	1	1
332	в поэзии и	1	1
333	и речи о	1	1
334	том как он	1	1
335	и не получил	1	1
336	как это и	1	1
337	по аналогии с	1	1
338	того или иного	1	1
339	между собою и	1	1
340	положительной или отрицательной	1	1
341	и в искусстве	1	1
342	в какой мере	1	1
343	на то что	1	1
344	из основных тенденций	1	1
345	от того что	2	1
346	он носит в	1	1
347	его таким образом	1	1
348	он говорит в	1	1
349	него со стороны	1	1
350	точном смысле слова	2	1
351	другой стороны он	1	1
352	в реальной действительности	1	1
353	в начале этой	1	1
354	отношению к ней	1	1
355	этом отношении очень	1	1
356	др таким образом	1	1
357	вопрос о том	1	1
358	хотя и не	1	1
