N	2gram	Bakhtin_Fr	Russkaja
1	не может	5	22
2	и не	25	19
3	в этом	28	17
4	в том	12	17
5	и в	68	14
6	то что	11	13
7	таким образом	22	11
8	то же	14	11
9	точки зрения	8	11
10	но и	17	10
11	же время	13	10
12	в то	14	10
13	не только	21	9
14	с точки	4	9
15	том что	6	9
16	во всяком	2	9
17	может быть	10	9
18	церкви и	1	9
19	в себе	5	9
20	прежде всего	23	8
21	того чтобы	6	8
22	как на	3	8
23	ни к	1	7
24	самом деле	5	7
25	стремление к	1	7
26	о том	5	7
27	в данном	5	7
28	и если	2	7
29	и с	15	7
30	отнюдь не	1	7
31	и к	4	6
32	для всех	1	6
33	если в	1	6
34	и при	2	6
35	для него	7	6
36	все это	6	6
37	на самом	7	6
38	в своих	7	6
39	если бы	3	6
40	и для	6	6
41	с тем	1	6
42	что он	7	6
43	для того	5	6
44	в своем	11	6
45	всяком случае	2	6
46	до сих	6	5
47	и на	16	5
48	из которых	1	5
49	только в	9	5
50	или иной	2	5
51	в своей	11	5
52	во имя	1	5
53	жизни в	1	5
54	между собой	1	5
55	во всех	8	5
56	сих пор	6	5
57	и только	1	5
58	хотя бы	2	5
59	потому что	3	5
60	в нем	12	5
61	между тем	3	5
62	он не	11	5
63	конечно не	4	5
64	а в	3	5
65	при этом	5	5
66	было бы	4	5
67	на то	1	5
68	он должен	1	5
69	никогда не	2	5
70	что в	14	4
71	во всем	4	4
72	бы то	1	4
73	и то	2	4
74	все что	4	4
75	так как	7	4
76	к этой	3	4
77	тогда когда	1	4
78	в его	21	4
79	не могут	1	4
80	его в	7	4
81	более или	1	4
82	отказаться от	1	4
83	не в	2	4
84	в корне	3	4
85	вместе с	4	4
86	как и	17	4
87	в мире	6	4
88	все же	6	4
89	в их	6	4
90	со стороны	2	4
91	себе и	1	4
92	или менее	1	4
93	том случае	1	4
94	то ни	1	4
95	можно было	3	4
96	чудесным образом	2	4
97	в совершенно	1	4
98	от того	1	4
99	как бы	7	4
100	путь к	1	4
101	в этой	15	4
102	себя в	2	4
