N	2gram	Potebnia_M	Vladivir
1	и в	48	116
2	то что	37	71
3	и не	28	67
4	у него	3	65
5	не только	32	65
6	в этом	19	53
7	в том	47	52
8	том что	28	51
9	что в	30	48
10	но и	30	47
11	в его	6	40
12	и с	4	39
13	то есть	53	37
14	и даже	3	36
15	сказать что	8	36
16	там же	8	35
17	так что	14	35
18	же с	7	34
19	потому что	82	33
20	что он	8	32
21	еще и	1	32
22	не может	18	31
23	о том	7	30
24	только в	29	30
25	как мы	8	29
26	никогда не	2	29
27	для него	14	29
28	вовсе не	13	27
29	а в	14	27
30	не было	12	26
31	а к	4	25
32	в себе	26	25
33	но в	8	25
34	в то	16	25
35	и то	13	25
36	и его	4	25
37	а также	1	24
38	точки зрения	4	23
39	между прочим	5	23
40	он не	4	23
41	может быть	46	23
42	что же	3	23
43	он был	1	22
44	ни в	2	22
45	так как	20	22
46	в виде	3	22
47	об этом	4	22
48	в своей	2	21
49	вместе с	22	21
50	а именно	1	20
51	и что	13	20
52	в своем	6	20
53	для нас	40	20
54	прежде всего	6	20
55	не менее	9	19
56	и вообще	4	19
57	по поводу	8	19
58	тем не	7	19
59	таким образом	24	19
60	в течение	2	19
61	так и	17	19
62	и потому	9	19
63	как и	22	18
64	не мог	1	18
65	не в	24	18
66	хотя и	3	18
67	как это	1	18
68	с его	1	18
69	то это	9	17
70	что и	16	17
71	в этой	3	17
72	едва ли	1	17
73	и если	4	17
74	а не	22	17
75	у нас	2	17
76	все же	3	16
77	уже не	11	16
78	к тому	9	16
79	не есть	24	16
80	совсем не	2	16
81	для себя	3	16
82	и все	5	16
83	было бы	16	16
84	того что	24	16
85	в котором	7	16
86	и к	5	15
87	то же	35	15
88	в своих	2	15
89	к этому	3	15
90	несмотря на	2	15
91	в связи	1	15
92	но это	9	15
93	это было	3	15
94	в л	1	15
95	того же	5	14
96	в с	1	14
97	все эти	1	14
98	раз и	1	14
99	тут же	2	14
100	его жизни	2	14
101	же касается	1	14
102	мы уже	5	14
103	и на	5	14
104	с а	2	14
105	уже в	10	14
106	и как	8	14
107	во всем	2	13
108	в результате	1	13
109	с тем	9	13
110	можно сказать	4	13
111	так же	6	13
112	на этот	1	13
113	и от	5	13
114	что это	6	13
115	то время	7	13
116	да и	2	13
117	дело в	1	13
118	жизни и	3	13
119	по себе	26	12
120	только на	4	12
121	и это	6	12
122	и по	5	12
123	в нем	16	12
124	то в	1	12
125	если не	6	12
126	всяком случае	3	12
127	ничего не	1	12
128	во всяком	4	12
129	есть только	9	12
130	связи с	6	12
131	при этом	6	11
132	него в	1	11
133	но что	4	11
134	более или	6	11
135	в данном	3	11
136	хотя бы	3	11
137	тому же	1	11
138	в которой	9	11
139	я не	1	11
140	на то	6	11
141	он уже	1	11
142	и здесь	3	11
143	никак не	3	11
144	это есть	1	11
145	все это	4	11
146	то он	2	11
147	или менее	6	11
148	мы должны	6	11
149	и о	6	11
150	в самом	11	10
151	даже в	3	10
152	что все	5	10
153	с точки	3	10
154	что его	3	10
155	можно было	1	10
156	что для	5	10
157	к нему	7	10
158	с ним	10	10
159	еще не	9	10
160	собственно говоря	2	10
161	в истории	2	10
162	здесь не	1	10
163	о нем	1	10
164	в ней	11	10
165	но не	8	10
166	и сам	1	9
167	именно в	5	9
168	с этим	12	9
169	с другой	8	9
170	мы знаем	1	9
171	и притом	3	9
172	но он	3	9
173	а только	7	9
174	но как	2	9
175	а с	4	9
176	не будет	4	9
177	этом смысле	2	9
178	в начале	3	9
179	оно есть	4	9
180	это время	1	9
181	отношения к	2	9
182	что мы	16	9
183	что если	5	9
184	для меня	5	9
185	это не	2	9
186	же время	8	9
187	ни с	1	9
188	что касается	1	9
189	в целом	5	9
190	с этой	2	8
191	это значит	1	8
192	не столько	2	8
193	в этих	2	8
194	тем что	13	8
195	в это	2	8
196	можно считать	1	8
197	которой он	1	8
198	конечно не	2	8
199	себя в	1	8
200	и он	1	8
201	в смысле	4	8
202	в чем	6	8
203	значит что	2	8
204	как в	17	8
205	со стороны	4	8
206	свое время	1	8
207	должно быть	9	8
208	и и	1	8
209	как бы	10	8
210	тот же	2	8
211	тоже не	1	8
212	xix века	1	8
213	и я	3	8
214	когда он	1	8
215	из этих	10	8
216	отношение к	2	8
217	в одном	4	7
218	в них	9	7
219	но все	2	7
220	к ней	7	7
221	а а	2	7
222	на первый	1	7
223	нам представляется	1	7
224	что этот	2	7
225	но даже	3	7
226	на первом	1	7
227	точно так	15	7
228	с в	4	7
229	себе отчет	1	7
230	в нашем	1	7
231	и мы	3	7
232	мы читаем	1	7
233	выше мы	4	7
234	себе и	1	7
235	за пределы	2	7
236	даже не	2	7
