N	4gram	Tiupa_Lite	Problema
1	дело в том что	2	10
2	не имеет ничего общего	1	9
3	не говоря уже о	2	7
4	бы то ни было	1	6
5	имеет ничего общего с	1	5
6	одним и тем же	1	4
7	одно и то же	1	4
8	и в то же	1	3
9	одного и того же	1	3
10	с этой точки зрения	3	3
11	с одной стороны и	1	3
12	как раз и является	1	3
13	в том что он	1	3
14	но в то же	1	3
15	все более и более	1	2
16	в том что в	1	2
17	в войне и мире	1	2
18	о том что не	1	2
19	маяковского владимир ильич ленин	1	2
20	не говоря уже об	1	2
21	только в том что	2	2
22	не только в том	2	2
23	но с другой стороны	3	2
24	а иной раз и	1	2
25	русской классической литературы как	1	1
26	себе в третьем лице	1	1
27	может быть каким угодно	1	1
28	а только то что	1	1
29	по крайней мере двух	1	1
30	в то же время	12	1
31	поскольку речь идет о	2	1
32	здесь как и во	1	1
33	о себе в третьем	1	1
34	бы ни были его	1	1
35	с другой стороны он	1	1
36	состоит в том что	6	1
37	в виду не только	1	1
38	и в частности для	1	1
39	человека в этом же	1	1
40	для нас как раз	1	1
41	и не может быть	1	1
42	можно было бы представить	1	1
43	эти и подобные им	2	1
44	каковы бы ни были	1	1
45	только на самое себя	1	1
46	существует только потому что	1	1
47	мы имеем дело в	1	1
48	мы никогда не можем	1	1
49	имеется в виду не	1	1
50	мандельштам еще в году	1	1
51	в том что этот	1	1
52	он не может быть	1	1
53	все хотят увидеть всех	1	1
54	в том что его	2	1
55	на том или ином	1	1
56	какой бы то ни	1	1
57	мы имеем дело с	1	1
58	однако в данном случае	1	1
