N	3gram	Voloshinov	EvropaiC
1	в том что	2	16
2	по отношению к	3	11
3	с точки зрения	5	8
4	более или менее	1	8
5	на то что	1	7
6	для того чтобы	1	7
7	на самом деле	1	7
8	в самом деле	2	5
9	не может быть	4	4
10	тем не менее	1	4
11	с другой стороны	2	4
12	может быть и	1	4
13	так же как	1	3
14	в данном случае	2	3
15	в связи с	1	3
16	мы все же	1	2
17	так и для	1	2
18	как и в	1	2
19	в то же	1	2
20	но и его	1	2
21	ничего общего с	2	2
22	только то что	1	2
23	с одной стороны	2	2
24	то же время	1	2
25	но так как	2	2
26	таким образом мы	1	1
27	все то что	1	1
28	только одно из	1	1
29	в каждом индивидуальном	1	1
30	та или иная	1	1
31	и более или	1	1
32	этой точки зрения	1	1
33	с этой точки	1	1
34	во всей своей	1	1
35	будут с одной	1	1
36	вместе с ними	1	1
37	до тех пор	4	1
38	в процессе подражания	1	1
39	между тем мы	1	1
40	состоит в том	1	1
41	те же самые	1	1
42	может быть не	1	1
43	иметь в виду	1	1
44	одно и то	3	1
45	иметь не может	1	1
46	свидетелями того как	1	1
47	не говорить о	1	1
48	в зависимости от	2	1
49	между тем как	1	1
50	элементов входящих в	1	1
51	можно было бы	1	1
52	себя и все	1	1
53	мы утверждаем что	1	1
54	с самого начала	2	1
55	и то же	2	1
56	хотя бы в	1	1
57	тех случаях когда	1	1
58	то же самое	1	1
59	к тому что	1	1
60	все же остается	1	1
61	и помимо этого	1	1
62	несмотря на все	1	1
63	так как все	1	1
64	из него все	1	1
65	нет и не	1	1
66	в тех случаях	1	1
67	и не может	1	1
