N	2gram	Propp_Russ	VelikijI
1	и не	6	20
2	и в	59	16
3	так как	25	9
4	то что	10	9
5	в истории	1	8
6	еще не	7	8
7	и потому	3	7
8	что они	8	7
9	а не	3	7
10	на земле	3	7
11	человека и	1	6
12	что есть	2	5
13	хотя и	3	5
14	того что	6	5
15	все это	12	5
16	ты не	1	5
17	по пути	1	5
18	как бы	18	5
19	на себя	4	5
20	но и	20	5
21	все что	2	4
22	в котором	2	4
23	в этом	18	4
24	что мы	1	4
25	потому что	15	4
26	в его	3	4
27	в ней	3	4
28	так и	8	4
29	говорить о	2	4
30	и есть	1	4
31	и все	4	4
32	что не	1	4
33	в образе	3	4
34	что все	2	4
35	как и	19	4
36	что он	2	4
37	в нем	3	4
38	во всех	6	3
39	что в	35	3
40	из первого	1	3
41	и мы	1	3
42	за ним	3	3
43	то это	1	3
44	в конце	1	3
45	счастье и	1	3
46	должно быть	2	3
47	в первый	5	3
48	если не	1	3
49	в том	33	3
50	тому что	4	3
51	не в	2	3
52	и что	8	3
53	что и	8	3
54	ни в	1	3
55	превращается в	1	3
56	в этих	3	3
57	в них	10	3
58	оно не	2	3
59	не было	3	3
60	христа в	2	3
61	что во	1	3
62	в жизни	2	3
63	что я	1	3
64	по этому	4	3
65	как не	2	3
66	их в	7	3
67	в своей	1	3
68	должна быть	1	3
69	с его	1	3
70	от этого	2	3
71	не имеет	9	3
72	но это	5	3
73	и для	3	3
74	жизни и	1	3
75	в чем	1	3
76	все эти	5	3
77	тот же	2	3
78	но в	5	3
79	к тому	4	3
80	никогда не	1	3
81	чтобы сделать	2	2
82	что было	1	2
83	во всяком	1	2
84	от него	1	2
85	его и	2	2
86	уже на	1	2
87	ее и	2	2
88	над ними	1	2
89	что от	4	2
90	а к	3	2
91	один из	10	2
92	превращаются в	1	2
93	мы и	1	2
94	не могли	1	2
95	в старой	1	2
96	они и	2	2
97	которым можно	1	2
98	которые не	3	2
99	на том	1	2
100	не так	1	2
101	того чтобы	6	2
102	это не	14	2
103	земли и	5	2
104	это все	1	2
105	между тем	9	2
106	не только	28	2
107	для него	1	2
108	вот почему	1	2
109	с ним	2	2
110	на этих	1	2
111	не будет	1	2
112	с презрением	1	2
113	ее в	7	2
114	для нас	12	2
115	и то	2	2
116	и за	2	2
117	не с	5	2
118	прежде всего	2	2
119	для них	5	2
120	можно было	3	2
121	так не	1	2
122	в форме	3	2
123	людей и	1	2
124	а между	1	2
125	и это	2	2
126	мы не	11	2
127	и теперь	1	2
128	только в	4	2
129	а с	6	2
130	те которые	1	2
131	происхождении и	1	2
132	а в	16	2
133	до того	3	2
134	в духе	1	2
135	в прошлом	2	2
136	в число	1	2
137	люди не	1	2
138	и сам	1	2
139	нет и	1	2
140	и последний	1	2
141	но не	7	2
142	тем что	7	2
143	вера в	2	2
144	тот кто	2	2
145	по которым	1	2
146	и свободы	1	2
147	и во	2	2
148	могут быть	3	2
149	значения и	2	2
150	с тем	14	2
151	и т	13	2
152	к нам	2	2
153	одна из	12	2
154	для людей	1	2
155	его к	3	2
156	не могут	1	2
157	т д	12	2
158	есть уже	1	2
159	том что	33	2
160	мир и	1	2
161	но мы	1	2
162	что их	1	2
163	уже не	9	2
164	не к	3	2
165	землей в	1	1
166	звучит в	1	1
167	с которыми	1	1
168	который он	1	1
169	во всем	2	1
170	и каким	1	1
171	ли они	1	1
172	связь с	1	1
173	и другие	24	1
174	то есть	3	1
175	благополучия и	1	1
176	и стало	1	1
177	было не	1	1
178	только себя	1	1
179	помогают от	1	1
180	все в	2	1
181	детскую игру	2	1
182	мы видим	2	1
183	ее к	2	1
184	что очень	1	1
185	любви и	1	1
186	будто бы	10	1
187	и совершают	1	1
188	и на	14	1
189	тому кто	1	1
190	на части	9	1
191	вопрос о	4	1
192	человеку не	1	1
193	на этом	6	1
194	же и	1	1
195	может быть	14	1
196	они не	1	1
197	видим что	1	1
198	после того	3	1
199	не имеют	1	1
200	и было	1	1
201	если в	3	1
202	ее на	3	1
203	одно целое	1	1
204	и хлеб	1	1
205	под землей	3	1
206	того как	6	1
207	это как	1	1
208	где есть	2	1
209	мы увидим	8	1
210	и вообще	1	1
211	и который	1	1
212	забота о	1	1
213	в руки	2	1
214	в роли	1	1
215	его с	4	1
216	она не	4	1
217	там он	1	1
218	но она	3	1
219	уже в	2	1
220	на новый	3	1
221	б и	1	1
222	в состоянии	1	1
223	для себя	1	1
224	у них	2	1
225	с этой	2	1
226	то же	6	1
227	живет в	1	1
228	грядущем не	1	1
229	во что	1	1
230	для того	6	1
231	iv в	2	1
232	и менее	1	1
233	это только	1	1
234	не по	1	1
235	и должна	2	1
236	силы на	1	1
237	благополучие в	2	1
238	что это	4	1
239	не всегда	4	1
240	в разных	3	1
241	него в	1	1
242	как дети	1	1
243	о чем	7	1
244	любовью к	1	1
245	не нужны	1	1
246	и тем	1	1
247	он где	1	1
248	есть один	1	1
249	говорит о	3	1
250	как это	11	1
251	рабской зависимости	1	1
252	но может	1	1
253	истории в	1	1
254	чем у	2	1
255	составные части	2	1
256	и всегда	1	1
257	и ненависти	1	1
258	этому же	3	1
259	не были	2	1
260	есть и	2	1
261	за эти	1	1
262	теми которые	1	1
263	в одном	4	1
264	же что	1	1
265	у нас	11	1
266	говорят что	1	1
267	на пути	1	1
268	кто же	1	1
269	церкви и	3	1
270	и религию	1	1
271	о своем	1	1
272	в этой	4	1
273	это слово	1	1
274	в виду	3	1
275	в день	12	1
276	слова с	1	1
277	уже плохо	1	1
278	его по	1	1
279	и вновь	1	1
280	но что	2	1
281	как можно	3	1
282	основана на	2	1
283	в русском	4	1
284	у него	2	1
285	много места	1	1
286	так же	7	1
287	в виде	10	1
288	это имеет	4	1
289	тогда как	4	1
290	что бы	1	1
291	себя от	1	1
292	христа на	1	1
293	недостатка в	1	1
294	не была	1	1
295	как замена	1	1
296	не был	3	1
297	их не	2	1
298	и всех	2	1
299	в своих	3	1
300	христа и	3	1
301	является и	1	1
302	их и	3	1
303	формах в	1	1
304	в разные	4	1
305	с другой	1	1
306	на которых	2	1
307	в которой	3	1
308	но все	3	1
309	вот что	1	1
310	ее от	2	1
311	и с	12	1
312	к ним	4	1
313	жизнь в	1	1
314	довольство и	1	1
315	каким образом	1	1
316	отношение к	1	1
317	стариков и	1	1
318	на нее	5	1
319	на путь	1	1
320	которого они	1	1
321	то и	4	1
322	или даже	3	1
323	но христос	1	1
324	ее но	1	1
325	религии и	1	1
326	не надо	1	1
327	он так	2	1
328	теперь еще	1	1
329	него не	1	1
330	найти в	1	1
331	и начало	2	1
332	как мы	11	1
333	оторванное от	1	1
334	происхождение и	1	1
335	из всего	1	1
336	их к	2	1
337	и до	3	1
338	и своего	1	1
339	нам право	2	1
340	на него	1	1
341	в своем	3	1
342	как бог	3	1
343	в грядущем	1	1
344	это ни	1	1
345	его на	1	1
346	был в	1	1
347	еще и	1	1
348	к жизни	3	1
349	и от	2	1
350	быть может	1	1
351	ничего не	4	1
352	весь мир	1	1
353	от слова	1	1
354	с ними	6	1
355	и очень	1	1
356	ней и	1	1
357	в третьем	1	1
358	человек с	1	1
359	природы и	3	1
360	и так	2	1
361	вместе с	16	1
362	все же	7	1
363	в одно	2	1
364	идет по	1	1
365	чтобы решить	3	1
366	если они	1	1
367	как в	10	1
368	этого слова	3	1
369	в которых	8	1
370	находится в	3	1
371	значение в	2	1
372	день в	1	1
373	бы ни	1	1
374	себя и	2	1
375	и по	10	1
376	и путем	1	1
377	их на	5	1
378	и могут	1	1
379	к этому	7	1
380	в их	5	1
381	с которым	1	1
382	это в	1	1
383	ли он	1	1
384	детские песни	1	1
385	не будут	2	1
386	в двух	2	1
387	для чего	1	1
388	зависимости от	1	1
389	в другие	11	1
390	хотел бы	1	1
391	к ее	1	1
392	таким же	4	1
393	себе и	1	1
394	не просто	3	1
395	он был	2	1
396	не случайно	2	1
397	не помогают	1	1
398	в целом	2	1
399	их во	1	1
400	им не	1	1
401	человек на	1	1
402	как религия	1	1
403	сделать это	1	1
404	и ее	3	1
405	что на	5	1
406	это самое	1	1
407	д и	1	1
408	мы указывали	1	1
409	себя но	1	1
410	многие люди	1	1
411	к нему	3	1
412	от них	4	1
413	и смерти	1	1
