1	дело в том что	4	7
2	в то же время	4	5
3	и т д но	1	4
4	это не значит что	1	3
5	заключается в том что	2	3
6	в том что он	2	3
7	совершенно не при чем	1	2
8	том что он не	1	2
9	но в то же	1	2
10	и т д и	11	2
11	и в самом деле	1	2
12	ответ на вопрос о	1	2
13	в том смысле что	1	2
14	когда речь идет о	1	2
15	с самого же начала	1	1
16	и вместе с тем	1	1
17	только в том что	1	1
18	может быть и речи	1	1
19	в одно целое в	1	1
20	она не могла бы	1	1
21	и в то же	3	1
22	одно и то же	5	1
23	и та и другая	1	1
24	одно из двух или	1	1
25	не может быть никакого	2	1
26	что с точки зрения	1	1
27	также и то что	1	1
28	свидетельствует о том что	3	1
29	иначе и быть не	1	1
30	каких бы то ни	1	1
31	в то время как	4	1
32	и т д на	1	1
33	относится не только к	1	1
34	ни в каком случае	4	1
35	не может не быть	1	1
36	не может быть и	1	1
37	в каком случае не	2	1
38	т д и т	10	1
39	это вовсе еще не	1	1
40	указание на то что	1	1
41	что бы то ни	1	1
42	т е не только	1	1
43	д и т д	10	1
44	в том что и	1	1
45	в самом деле не	1	1
46	и в этом отношении	1	1
47	но даже и в	1	1
48	и т д в	1	1
49	бы то ни было	12	1
