N	4gram	Losev_Prob	DiskursI
1	в то же время	1	8
2	состоит в том что	1	7
3	дело в том что	4	5
4	же самое можно сказать	1	4
5	то же самое можно	1	4
6	в том что в	1	3
7	не говоря уже о	2	3
8	в том числе и	1	3
9	о котором он говорит	1	2
10	бы то ни было	2	2
11	одним и тем же	1	2
12	не что иное как	3	1
13	с одной стороны это	2	1
14	в том что и	1	1
15	но так или иначе	1	1
16	и в наше время	1	1
17	в той или иной	2	1
18	ни в чем не	2	1
19	в войне и мире	1	1
20	тем не менее в	2	1
21	в такой же мере	1	1
22	только в том что	1	1
23	по крайней мере в	3	1
24	не только в том	2	1
25	или по крайней мере	1	1
26	одном и том же	1	1
27	в том что он	2	1
28	мы имеем дело с	1	1
29	той или иной мере	2	1
30	свидетельствует о том что	1	1
31	с одной стороны он	1	1
32	с другой стороны это	1	1
