N	2gram	Medvedev_B	slovoVRo
1	и в	1	92
2	и не	2	51
3	не только	1	44
4	до конца	1	37
5	а не	1	34
6	так и	1	30
7	в пределах	1	29
8	все это	2	25
9	и на	1	22
10	прежде всего	1	19
11	таким образом	1	17
12	все же	1	17
13	с другой	1	13
14	еще не	1	12
15	во всяком	1	12
16	и потому	1	12
17	далеко не	1	10
18	в своей	1	9
19	в значительной	1	8
20	установка на	1	8
21	всяком случае	1	8
22	в ней	2	8
23	кроме того	1	7
24	значительной степени	1	7
25	стиля и	1	7
26	не было	1	7
27	его не	1	7
28	за пределы	1	7
29	что в	1	6
30	другой стороны	1	6
31	говорить о	1	6
32	должна быть	1	5
33	в данном	1	5
34	и более	1	5
35	и во	1	4
36	одной из	1	4
37	и о	1	4
38	и ее	1	4
39	необходимо отметить	1	3
40	и нет	1	3
41	было бы	1	3
42	выходит за	1	3
43	не все	1	3
44	не укладывается	1	3
45	совершенно не	1	2
46	точке зрения	1	2
47	что все	1	2
48	на самом	1	2
49	у нас	3	2
50	бы только	1	2
51	между ними	1	2
52	в области	1	2
53	об этом	1	2
54	как всякий	1	2
55	можно было	2	2
56	к ней	1	2
57	меньше чем	1	2
58	всего в	1	1
59	со всем	1	1
60	никак не	1	1
61	также не	1	1
62	по крайней	1	1
63	параллели с	1	1
64	говорить не	1	1
65	без понимания	1	1
66	о художественной	1	1
67	художественного произведения	1	1
68	в научном	1	1
69	о художественном	1	1
70	крайней мере	1	1
71	стоит на	1	1
72	же не	1	1
73	выпадают из	1	1
74	своей книге	1	1
75	не о	1	1
76	как некоторого	1	1
77	не мешало	1	1
78	приемов построения	1	1
79	тем более	1	1
80	нельзя не	1	1
81	говорить об	1	1
82	отнюдь не	1	1
83	но автор	1	1
