N	2gram	Medvedev_B	Stilisti
1	и в	1	42
2	не только	1	28
3	прежде всего	1	22
4	и не	2	14
5	отнюдь не	1	10
6	все же	1	9
7	таким образом	1	8
8	в ней	2	8
9	и на	1	7
10	так и	1	7
11	было бы	1	7
12	а не	1	7
13	в области	1	6
14	всего в	1	4
15	все это	2	4
16	у нас	3	4
17	можно было	2	4
18	короче говоря	1	3
19	совершенно не	1	3
20	на самом	1	3
21	между ними	1	3
22	об этом	1	3
23	еще не	1	3
24	и потому	1	2
25	кроме того	1	2
26	о них	1	2
27	не было	1	2
28	в своей	1	2
29	вопрос о	1	2
30	в значительной	1	2
31	его не	1	2
32	в пределах	1	2
33	значительной степени	1	2
34	одной из	1	2
35	до конца	1	2
36	забывать что	1	2
37	и нет	1	2
38	что в	1	1
39	также что	1	1
40	о художественной	1	1
41	еще лучше	1	1
42	никак не	1	1
43	остановиться на	1	1
44	было говорить	1	1
45	другой стороны	1	1
46	из ее	1	1
47	своей же	1	1
48	творчества и	1	1
49	интонации от	1	1
50	бы только	1	1
51	не о	1	1
52	а о	1	1
53	выпадает из	1	1
54	будто бы	1	1
55	крайней мере	1	1
56	в речи	1	1
57	тем более	1	1
58	по крайней	1	1
59	из имеющихся	1	1
60	как часть	1	1
61	нет но	1	1
62	говорить не	1	1
63	говорить о	1	1
64	без понимания	1	1
65	за пределы	1	1
66	с другой	1	1
67	и о	1	1
68	и во	1	1
69	художественного произведения	1	1
70	установка на	1	1
71	как будто	1	1
72	как всякий	1	1
73	по отдельным	1	1
74	является только	1	1
75	не то	2	1
