N	2gram	Voloshinov	Istorich
1	и в	32	181
2	может быть	50	115
3	не только	18	114
4	что он	5	111
5	что в	5	90
6	но и	17	85
7	в этом	27	81
8	так как	5	75
9	то что	12	73
10	таким образом	29	72
11	вместе с	2	71
12	и не	42	67
13	мы видим	2	65
14	все же	13	65
15	в этих	2	64
16	еще не	7	63
17	не может	40	61
18	этих случаях	1	60
19	так же	10	57
20	то же	19	56
21	никогда не	7	56
22	в том	13	53
23	том что	12	53
24	а в	5	52
25	с другой	6	52
26	потому что	2	52
27	и что	2	51
28	и здесь	9	51
29	что и	5	51
30	мы видели	5	49
31	а не	15	48
32	о том	4	48
33	связь с	4	47
34	его в	7	47
35	не в	13	47
36	другой стороны	7	46
37	превращается в	2	45
38	и пр	31	44
39	мы должны	4	44
40	но в	13	44
41	это не	5	43
42	и его	33	43
43	мы знаем	7	42
44	в нем	17	42
45	только в	14	42
46	как в	5	42
47	или в	4	39
48	тем что	3	38
49	и на	8	38
50	в его	10	38
51	как и	19	37
52	уже не	2	37
53	мы уже	7	37
54	он не	5	37
55	что здесь	1	37
56	так и	21	37
57	мы увидим	3	36
58	мы можем	6	36
59	что они	1	35
60	с тем	1	35
61	мы не	6	35
62	здесь мы	7	35
63	все эти	8	35
64	связи с	22	34
65	но не	2	34
66	а именно	1	34
67	у него	2	34
68	во время	2	34
69	что это	3	34
70	же как	2	33
71	там где	4	33
72	сих пор	10	32
73	в качестве	4	32
74	прежде всего	19	31
75	ничего не	9	31
76	с этим	6	30
77	с одной	2	30
78	в русской	3	30
79	до сих	10	30
80	к нему	5	30
81	при помощи	1	30
82	этом случае	3	29
83	но все	4	29
84	одной стороны	2	29
85	как мы	26	29
86	но это	1	29
87	и другие	2	28
88	в иной	1	28
89	что она	1	28
90	и с	4	28
91	например в	2	28
92	здесь можно	1	27
93	так что	2	27
94	могут быть	4	27
95	в образе	1	27
96	того что	5	27
97	как он	3	27
98	как это	2	26
99	на него	1	26
100	мы здесь	2	26
101	и др	3	26
102	в ней	5	26
103	вопрос о	6	25
104	в дальнейшем	3	25
105	и он	4	25
106	не менее	5	24
107	к этому	10	24
108	было бы	8	24
109	того как	1	24
110	в виде	1	24
111	если бы	12	24
112	что мы	1	24
113	их в	1	23
114	как бы	31	23
115	и это	6	23
116	тем не	3	23
117	в этой	3	23
118	не будем	4	23
119	все это	4	23
120	когда он	1	23
121	в частности	2	23
122	и по	1	22
123	с ним	1	22
124	при этом	13	22
125	связано с	3	21
126	в другом	5	21
127	в одном	2	21
128	сказать что	7	21
129	в связи	12	21
130	связан с	1	21
131	должны были	1	21
132	здесь не	2	21
133	к тому	8	21
134	они не	2	21
135	ее в	2	21
136	из них	3	20
137	эти случаи	1	20
138	из этих	3	20
139	она не	2	20
140	эта связь	1	20
141	одна из	6	20
142	в других	1	20
143	в силу	1	20
144	видели что	1	20
145	другими словами	4	20
146	так например	2	19
147	на том	1	19
148	но он	1	19
149	в тех	1	19
150	в другой	1	19
151	не совсем	1	19
152	есть и	1	19
153	на то	4	19
154	и как	8	19
155	после этого	1	18
156	в то	7	18
157	не все	3	18
158	в данном	8	18
159	вовсе не	15	18
160	можно найти	1	17
161	очень много	1	17
162	выше мы	1	17
163	по существу	1	17
164	и только	2	17
165	во всех	13	16
166	этот вопрос	5	16
167	всех этих	2	16
168	и они	1	16
169	то мы	4	16
170	в котором	6	16
171	между двумя	4	16
172	и действительно	4	16
173	и все	8	16
174	со стороны	2	16
175	связана с	4	16
176	в пределах	7	15
177	увидим что	1	15
178	в особенности	1	15
179	уже знаем	2	15
180	и то	4	15
181	в своей	5	15
182	его и	3	15
183	и там	1	15
184	в одной	4	15
