N	2gram	Medvedev_B	Hudozhes
1	и в	1	23
2	не только	1	20
3	и не	2	16
4	а не	1	13
5	так и	1	12
6	с другой	1	9
7	в области	1	8
8	что в	1	7
9	в своей	1	7
10	другой стороны	1	6
11	прежде всего	1	5
12	между ними	1	5
13	не следует	1	4
14	еще не	1	4
15	в данном	1	4
16	говорить о	1	4
17	далеко не	1	4
18	и о	1	4
19	художественного произведения	1	4
20	и на	1	3
21	литературы как	1	3
22	литературных произведений	2	3
23	таким образом	1	3
24	в пределах	1	3
25	и ее	1	3
26	значительной степени	1	2
27	теорию литературы	1	2
28	не вполне	1	2
29	было и	1	2
30	об этом	1	2
31	не все	1	2
32	одной из	1	2
33	теории литературы	1	2
34	все это	2	2
35	ведет по	1	2
36	и более	1	2
37	тем более	1	2
38	и потому	1	2
39	в значительной	1	2
40	за пределы	1	2
41	отнюдь не	1	2
42	и меньше	1	1
43	узко и	1	1
44	автора по	1	1
45	в научном	1	1
46	функцией в	1	1
47	стороны изучение	1	1
48	переходя к	1	1
49	все же	1	1
50	по крайней	1	1
51	точно и	1	1
52	до конца	1	1
53	что все	1	1
54	в композиции	1	1
55	книги в	1	1
56	крайней мере	1	1
57	всего в	1	1
58	чем на	1	1
59	у нас	3	1
60	на которой	1	1
61	не было	1	1
62	художественном произведении	1	1
63	не уничтожается	1	1
64	нельзя не	1	1
65	выпадает из	1	1
66	было бы	1	1
67	свести к	1	1
68	говорить об	1	1
69	как будто	1	1
