N	3gram	Potebnia_M	Poddanst
1	то же время	3	7
2	в то же	3	7
3	в том что	18	4
4	не только в	3	4
5	сами по себе	8	3
6	в сравнении с	4	3
7	с точки зрения	3	3
8	с одной стороны	6	3
9	но и в	4	2
10	заключается в том	1	2
11	в ней не	1	2
12	заключает в себе	6	2
13	и не только	1	2
14	одной стороны и	2	2
15	и т д	6	1
16	там где он	1	1
17	не было бы	3	1
18	с тем же	1	1
19	в некотором смысле	2	1
20	далеко не все	1	1
21	многие из тех	1	1
22	вместе с тем	1	1
23	и тем самым	2	1
24	в применении к	3	1
25	само по себе	6	1
26	если бы мы	1	1
27	мы знаем что	1	1
28	не может быть	11	1
29	в законченные и	1	1
30	во многих случаях	2	1
31	в большинстве случаев	1	1
32	в отличие от	1	1
33	в этом смысле	4	1
34	по сравнению с	1	1
35	что во всех	2	1
36	можем представить себе	2	1
37	т д не	1	1
38	и быть может	1	1
39	не более как	3	1
40	в собственном смысле	2	1
41	в нем в	1	1
42	между тем в	2	1
43	во всяком случае	7	1
44	для того чтобы	4	1
45	не прийти к	1	1
46	можно думать что	3	1
47	что то же	1	1
48	и тем более	1	1
49	потому что есть	1	1
50	с другой стороны	7	1
51	тем и другим	1	1
52	и не может	1	1
53	место в ряду	2	1
54	не в том	6	1
55	в том виде	1	1
56	в жизни народа	1	1
57	этой последней в	1	1
58	более или менее	6	1
59	распадается на две	1	1
60	вслед за тем	1	1
61	так же как	1	1
62	до тех пор	1	1
63	для того кто	2	1
64	и в какой	1	1
65	и в этом	7	1
66	то что происходит	1	1
