N	4gram	Tiupa_Teor	VerxiiNi
1	в том числе и	2	4
2	бы то ни было	2	2
3	с этой точки зрения	2	2
4	в то же время	8	2
5	и те и другие	1	2
6	точно так же как	1	2
7	состоит в том что	5	1
8	одном и том же	1	1
9	неизбежно заключает в себе	1	1
10	но в то же	2	1
11	мы имеем в виду	3	1
12	в области духовной культуры	1	1
13	для того чтобы такое	1	1
14	и в то же	2	1
15	одного и того же	4	1
16	слове о полку игореве	2	1
17	в одном и том	1	1
18	ни к чему не	1	1
19	еще и потому что	1	1
20	а с другой стороны	1	1
21	в слове о полку	2	1
22	в том или ином	1	1
