N	3gram	Tiupa_Hudo	FransuaR
1	то же время	11	55
2	в то же	11	55
3	мы уже говорили	1	43
4	в том что	15	27
5	в том числе	1	27
6	до сих пор	3	27
7	с точки зрения	5	20
8	но в то	3	20
9	в этом отношении	4	20
10	для того чтобы	2	17
11	том числе и	1	17
12	о том что	14	17
13	в связи с	3	16
14	жизни и смерти	4	15
15	сих пор еще	1	15
16	не может быть	5	13
17	дело в том	1	13
18	с одной стороны	4	13
19	на самом деле	1	13
20	а также и	1	12
21	и в то	2	12
22	с другой стороны	1	12
23	в отличие от	1	11
24	как и все	1	11
25	можно сказать что	1	11
26	самом же деле	1	10
27	той или иной	1	10
28	как и в	5	10
29	на самом же	1	10
30	в данном случае	3	10
31	в значительной степени	3	10
32	в конце концов	1	10
33	не только в	4	10
34	по отношению к	15	9
35	так и в	1	9
36	зрения на мир	1	9
37	до известной степени	1	9
38	и т.п в	1	9
39	в свое время	1	9
40	более или менее	1	8
41	в самом деле	5	7
42	о том как	4	7
43	в узком смысле	1	7
44	можно было бы	5	7
45	прежде всего в	1	7
46	и в других	1	7
47	в настоящее время	1	7
48	подобно тому как	4	7
49	в следующей главе	3	7
50	но все же	2	6
51	это прежде всего	2	6
52	за то что	1	6
53	в свою очередь	1	6
54	с самого начала	1	6
55	одной стороны и	1	5
56	друг с другом	1	5
57	то же самое	3	5
58	в последней главе	1	5
59	в одной из	1	5
60	не было ни	2	5
61	во всяком случае	1	5
62	в первом случае	2	5
63	потому что он	1	5
64	вместо того чтобы	2	5
65	в это время	2	5
66	как бы в	2	5
67	же время это	1	5
68	как раз в	2	5
69	том что в	4	4
70	и все что	1	4
71	здесь не в	1	4
72	в частности и	1	4
73	в одном из	1	4
74	не только для	2	4
75	прежде всего на	1	4
76	не нуждается в	1	4
77	связи с этим	2	4
78	так же как	2	4
79	и то что	1	4
80	во второй половине	2	4
81	в самом начале	1	4
82	в нем не	1	4
83	как раз и	1	4
84	это уже не	1	4
85	и в самом	4	4
86	потому что это	1	3
87	в предыдущей главе	3	3
88	он вовсе не	1	3
89	у него в	1	3
90	друг от друга	2	3
91	в нашем примере	1	3
92	между тем как	1	3
93	не только не	3	3
94	уже говорили о	1	3
95	как мы знаем	1	3
96	это своего рода	2	3
97	дело здесь не	1	3
98	в себе и	1	3
99	все же не	2	3
100	почти ничего не	1	3
101	содержит в себе	2	3
102	большей степени чем	1	3
103	но и для	2	3
104	мы уже отмечали	3	3
105	в этом смысле	1	3
106	именно потому что	1	3
107	а с другой	1	3
108	и там где	1	3
109	бы то ни	1	3
110	и в этом	3	3
111	заключается в том	1	3
112	так и не	3	3
113	видит в нем	1	3
114	на этом свете	2	3
115	нет и не	1	3
116	в частности к	1	2
117	же время не	1	2
118	мы уже знаем	2	2
119	в себя и	1	2
120	самом деле в	2	2
121	при этом что	1	2
122	в первый раз	1	2
123	с ним в	1	2
124	за него и	1	2
125	но при этом	3	2
126	не потому что	1	2
127	уже знаем что	1	2
128	между этими двумя	1	2
129	мы узнаем что	2	2
130	прежде всего его	1	2
