N	3gram	Kanaev_Sov	Marksizm
1	с точки зрения	5	46
2	не может быть	4	25
3	в самом деле	1	19
4	по отношению к	1	15
5	то же время	1	15
6	в то же	1	15
7	в том что	1	14
8	в связи с	1	14
9	и не может	1	12
10	то ни было	1	12
11	бы то ни	1	12
12	до сих пор	1	11
13	в отличие от	2	10
14	с самого начала	3	10
15	в настоящее время	2	8
16	то же самое	2	8
17	может быть и	2	8
18	в свою очередь	2	7
19	на самом деле	1	6
20	во всяком случае	2	6
21	с одной стороны	1	6
22	одни и те	1	5
23	той или иной	1	5
24	и те же	1	5
25	в этом случае	1	5
26	мы уже знаем	1	4
27	в зависимости от	4	4
28	быть и речи	1	4
29	и прежде всего	1	4
30	но все же	1	4
31	лишь там где	1	4
32	и тот же	1	3
33	точки зрения своего	1	3
34	тем не менее	2	3
35	одной стороны и	1	3
36	и пр но	1	3
37	друг с другом	2	3
38	все более и	1	3
39	не могут быть	1	3
40	и в этом	1	3
41	всегда и всюду	1	3
42	один и тот	1	3
43	какой бы то	1	3
44	и той же	1	3
45	более и более	1	3
46	на этот вопрос	1	3
47	не было бы	1	3
48	можно было бы	1	3
49	именно в том	1	3
50	одной и той	1	3
51	в этом направлении	1	2
52	ничего общего не	1	2
53	в этом смысле	1	2
54	и у нас	1	2
55	мы видели что	3	2
56	дело идет о	1	2
57	в данном случае	1	2
58	а не только	1	2
59	сами по себе	1	2
60	по крайней мере	1	2
61	совершенно независимо от	1	2
62	со всеми ее	1	2
63	и та же	1	2
64	остается подвести итоги	1	2
65	так же как	1	2
66	ведь ясно что	1	2
67	одна и та	1	2
68	теперь мы должны	1	2
69	тот или иной	1	2
70	но ведь это	1	1
71	как и во	1	1
72	а может быть	1	1
73	в одном направлении	1	1
74	точки зрения и	1	1
75	между ним и	1	1
76	начинается лишь там	1	1
77	заключать в себе	1	1
78	в конечном счете	1	1
79	что в каждом	1	1
80	мы можем назвать	2	1
81	из этих двух	1	1
82	реальный момент времени	2	1
83	ни в один	1	1
84	до наших дней	1	1
85	в предыдущей главе	1	1
86	но если мы	1	1
87	в результате мы	1	1
88	совершенно так же	1	1
89	она и не	1	1
90	прежде всего необходимо	1	1
91	только одна возможность	2	1
92	конечно нельзя нельзя	1	1
93	но они не	1	1
94	с помощью которых	2	1
95	может быть только	1	1
96	ясно что все	1	1
97	по аналогии с	1	1
98	само собою разумеется	2	1
99	друг на друга	1	1
100	они не могут	1	1
101	это значит что	1	1
102	в одном случае	1	1
103	не может ведь	1	1
104	же самое что	1	1
105	все же в	1	1
106	равно как и	1	1
107	что иное как	1	1
108	же этот процесс	1	1
109	состоит из двух	1	1
110	самый вопрос о	2	1
111	может быть в	1	1
112	во всей совокупности	1	1
113	и не было	1	1
114	который как бы	1	1
115	стадии своего развития	1	1
116	только и могут	1	1
117	главного представителя современного	1	1
118	речи мы не	1	1
119	в западной европе	1	1
120	цель и в	1	1
121	в обоих случаях	1	1
122	но уже в	1	1
123	не что иное	1	1
124	дело в том	1	1
125	западной европе являются	1	1
126	от общего и	1	1
127	должен заключать в	1	1
128	как мы видим	1	1
129	почти у каждого	1	1
130	но отнюдь не	1	1
131	но тем не	1	1
132	в один реальный	1	1
133	с и т.д	1	1
134	в новое время	1	1
135	по его мнению	1	1
136	и потому совершенно	1	1
137	один реальный момент	1	1
138	одна из них	1	1
139	все это делает	1	1
140	общего не имеет	1	1
141	оно может быть	1	1
142	мы не можем	6	1
143	ровно ничего не	1	1
144	ни о каком	1	1
