1	в записках из подполья	2	3
2	что же это за	1	2
3	в своем художественном творчестве	1	2
4	легенда о великом инквизиторе	1	2
5	и в самом деле	1	1
6	и не может быть	1	1
7	в обычном смысле слова	1	1
8	кто бы он ни	2	1
9	и в одно время	1	1
10	у достоевского нельзя найти	1	1
11	к нему как к	1	1
12	строгом смысле этого слова	1	1
13	бы он ни был	5	1
14	самой жизни а не	1	1
15	творчестве он прежде всего	1	1
16	месте и в одно	1	1
17	в строгом смысле этого	1	1
18	им для своих целей	1	1
19	в самой жизни а	1	1
20	в одном месте и	1	1
21	и к чему бы	1	1
22	одном месте и в	1	1
