N	4gram	Vinokur_Vv	EvropaiE
1	в то же время	6	14
2	с одной стороны и	3	6
3	с этой точки зрения	2	5
4	бы то ни было	1	4
5	в той или иной	1	3
6	можно сказать что в	1	2
7	заключается в том что	2	2
8	но в то же	3	2
9	и в этом смысле	1	2
10	не только в том	1	1
11	дело в том что	3	1
12	ответить на этот вопрос	1	1
13	той или иной степени	1	1
14	в большей или меньшей	1	1
15	и прежде всего в	1	1
16	и для того чтобы	1	1
17	тех или иных областей	1	1
18	в том что обе	1	1
19	то же время в	1	1
20	которая как мы видели	1	1
21	в связи с этим	1	1
22	не говоря уже о	1	1
23	большей или меньшей степени	1	1
24	одного и того же	2	1
25	в том смысле что	1	1
26	на этот вопрос мы	1	1
27	на то или иное	1	1
