N	4gram	Bakhtin_Pr	TeoriaLi
1	в то же время	13	8
2	мы имеем в виду	1	3
3	в том числе и	1	2
4	в том что он	4	2
5	бы то ни было	2	2
6	но в то же	7	2
7	и в то же	2	2
8	только то что может	1	1
9	но в таком случае	1	1
10	иметь в виду что	1	1
11	заключается в том что	1	1
12	как более или менее	1	1
13	собственного сознания а в	1	1
14	и по отношению к	1	1
15	с одной стороны и	1	1
16	в таком случае это	1	1
17	по отношению к нему	2	1
18	дело в том что	1	1
19	а в то же	2	1
20	по себе еще не	4	1
21	из уст в уста	1	1
22	по отношению к автору	1	1
23	но в отличие от	1	1
24	в той или иной	1	1
25	то же время оно	2	1
26	какой бы то ни	1	1
27	искусства и в частности	1	1
28	сама по себе еще	1	1
