N	4gram	Trubetskoy	VLabPisa
1	в то же время	2	5
2	в том числе и	1	2
3	таким образом по отношению	1	2
4	и не может быть	1	2
5	образом по отношению к	1	2
6	приводит к тому что	1	2
7	не в том что	1	2
8	именно в том что	1	1
9	с этой точки зрения	1	1
10	только в этом случае	1	1
11	не подлежит сомнению что	3	1
12	в том случае если	4	1
13	и так или иначе	1	1
14	одно и то же	1	1
15	но вместе с тем	2	1
16	в том же духе	1	1
17	но с другой стороны	1	1
18	говоря уже о том	1	1
19	только в том случае	1	1
20	а в том что	1	1
21	уже о том что	1	1
22	что ни одна из	1	1
23	в то время как	1	1
24	в том что оно	1	1
25	нет и не может	1	1
26	не говоря уже о	1	1
27	до сих пор не	5	1
28	в этой области не	1	1
29	в начале этой главы	1	1
30	в том или ином	1	1
