N	2gram	Tiupa_Teor	Formalny
1	и в	24	95
2	и не	17	78
3	может быть	22	66
4	в этом	12	61
5	не может	8	57
6	и пр	1	53
7	вовсе не	3	53
8	таким образом	3	52
9	и его	11	51
10	так и	14	50
11	точки зрения	11	47
12	в нем	7	42
13	в его	12	42
14	прежде всего	3	41
15	с точки	3	40
16	как и	6	39
17	художественного произведения	5	36
18	в самом	7	35
19	не в	9	35
20	а не	14	34
21	но и	14	33
22	то же	12	32
23	самом деле	2	32
24	истории литературы	2	31
25	не только	24	30
26	в пределах	5	28
27	в том	20	26
28	отнюдь не	3	26
29	если бы	3	26
30	то что	6	25
31	художественной конструкции	1	25
32	при этом	20	24
33	в своей	8	24
34	на почве	5	24
35	лишь в	10	24
36	с помощью	1	23
37	было бы	1	23
38	связи с	3	23
39	в то	9	22
40	и ее	4	22
41	что в	10	21
42	в истории	1	21
43	как бы	8	21
44	между ними	6	20
45	с тем	1	20
46	не менее	6	20
47	входит в	4	20
48	как мы	1	20
49	и от	1	20
50	же время	8	20
51	место в	7	20
52	в их	4	20
53	по себе	2	19
54	художественное произведение	3	19
55	не могут	2	19
56	все это	2	19
57	все же	1	18
58	в связи	3	18
59	только в	9	18
60	с его	6	18
61	все эти	3	18
62	и их	1	18
63	как раз	3	17
64	произведения в	1	17
65	как в	5	17
66	более того	1	17
67	с другой	9	16
68	так же	2	16
69	в искусстве	9	16
70	совершенно не	1	16
71	потому что	3	16
72	именно в	3	15
73	должно быть	1	15
74	с другими	6	15
75	его в	4	15
76	бы в	1	15
77	во всех	3	15
78	и на	2	15
79	так как	1	15
80	но в	12	15
81	в поэзии	2	15
82	в литературе	4	15
83	в жизни	3	14
84	только на	2	14
85	в своем	7	14
86	в ее	6	14
87	в этой	3	14
88	в единстве	1	14
89	что он	4	14
90	вместе с	2	14
91	еще не	6	14
92	языка и	1	14
93	если мы	2	14
94	литературное произведение	1	14
95	и потому	3	14
96	жизни и	1	14
97	в целом	4	14
98	в результате	1	13
99	тем что	1	13
100	настоящее время	1	13
101	что и	2	13
102	ни в	5	13
103	могут быть	5	13
104	независимо от	1	13
105	сводится к	12	13
106	со стороны	6	13
107	до конца	1	13
108	в настоящее	1	13
109	того что	5	13
110	как ее	1	13
111	она не	1	13
112	а в	15	13
113	уже не	6	12
114	к тому	4	12
115	в действительности	1	12
116	по отношению	10	12
117	как это	10	12
118	и здесь	2	12
119	оно не	2	12
120	того чтобы	5	12
121	и для	3	12
122	отношению к	10	12
123	никогда не	4	11
124	что они	2	11
125	лишь для	1	11
126	то ни	2	11
127	между тем	5	11
128	литературного произведения	11	11
129	зависимости от	1	11
130	они не	1	11
131	произведения как	1	11
132	это и	2	11
133	для него	5	11
134	в основе	6	11
135	но не	13	11
136	в большинстве	2	11
137	слова и	1	11
138	не как	1	10
139	другой стороны	6	10
140	в своих	1	10
141	в первом	2	10
142	в художественном	5	10
143	раз и	1	10
144	о литературе	3	10
145	в зависимости	1	10
146	бы то	2	10
147	не было	1	10
148	большинстве случаев	1	10
149	не есть	1	10
150	здесь и	1	10
151	действительности и	1	10
152	он не	5	10
153	материала в	2	10
154	с ее	4	10
155	в слове	4	10
156	не является	5	10
157	и теперь	1	10
158	тем же	2	10
159	друг друга	1	10
160	и др	3	10
161	материала и	1	10
162	по существу	1	10
163	и как	3	10
164	на фоне	2	10
165	и даже	2	9
166	языка в	4	9
167	говорить о	4	9
168	для понимания	2	9
169	не могло	2	9
170	ни было	2	9
171	в каждом	1	9
172	совсем не	1	9
173	одним словом	1	9
174	бы ни	1	9
175	или иного	6	9
176	отношения к	4	9
177	в свою	4	9
178	и до	1	9
179	здесь не	2	9
180	от всех	2	9
181	у нас	2	9
182	быть и	2	9
183	и может	1	9
184	и к	3	8
185	без исключения	4	8
186	в них	2	8
187	и те	1	8
188	в данном	9	8
189	одной стороны	3	8
190	была бы	3	8
191	как такового	1	8
192	с одной	3	8
193	же как	1	8
194	между собой	3	8
195	в сторону	3	8
196	и является	2	8
197	из этого	1	8
198	что это	1	8
199	с этим	1	8
200	роль в	3	8
201	на основе	2	8
202	это не	4	8
203	должен быть	2	8
204	не следует	4	8
205	для того	5	8
206	в области	7	8
207	для этого	1	8
208	в той	2	7
209	можно говорить	1	7
210	же и	1	7
211	более или	6	7
212	свою очередь	3	7
213	сказать что	4	7
214	в сущности	1	7
215	из них	1	7
216	время в	1	7
217	оценки и	1	7
218	говорит в	2	7
219	художественном произведении	1	7
220	от этого	1	7
221	совершается в	1	7
222	в систему	1	7
223	в себе	14	7
224	столь же	3	7
225	бы быть	1	7
226	направления в	1	7
227	искусства в	5	7
228	в особенности	1	7
229	во втором	3	7
230	литературы как	3	7
231	не на	4	7
232	смысла и	1	7
233	жизни в	2	7
234	том что	11	7
235	не входит	2	7
236	известной степени	3	7
237	он и	2	7
238	и более	1	7
239	в какой	2	7
240	только и	2	7
241	или менее	6	7
242	в одной	1	7
243	того или	6	7
244	стороны и	1	7
245	в понимании	1	7
246	как к	5	7
247	и только	1	7
248	к действительности	3	6
249	те же	1	6
250	в этих	4	6
251	если он	1	6
252	например в	3	6
253	их в	3	6
254	при таком	1	6
255	отличается от	2	6
256	о том	2	6
257	художественного восприятия	4	6
258	жизнь и	1	6
259	только не	3	6
260	по преимуществу	5	6
261	от его	1	6
262	именно так	1	6
263	в которой	3	6
264	в конце	2	6
265	и это	2	6
266	на этом	2	6
267	и тем	5	6
268	за пределы	2	6
269	в статье	1	6
270	один из	2	6
271	его с	1	6
272	на ее	1	6
273	с ним	1	6
274	его смысла	1	6
275	в плоскости	1	6
276	к его	3	6
277	из этих	3	6
278	в произведении	3	6
279	художественных произведений	1	6
280	литературных произведений	5	6
281	той же	1	6
282	этого слова	4	6
283	данном случае	5	6
284	в формах	2	6
285	ее в	2	6
286	так в	4	6
287	особенно в	1	6
288	произведения искусства	4	6
289	не по	1	6
290	в частности	23	6
291	тем самым	6	6
292	искусства и	3	6
293	отношение к	7	6
294	тому что	2	6
295	случае в	1	5
296	с этой	3	5
297	даже в	3	5
298	какой бы	1	5
299	в виду	5	5
300	значительной степени	2	5
301	в мире	26	5
302	и со	1	5
303	можно сказать	5	5
304	в котором	1	5
305	вопрос о	1	5
306	и формы	1	5
307	из виду	2	5
308	в нашем	4	5
309	к которому	3	5
310	все без	1	5
311	характерно что	1	5
312	к нему	2	5
313	то в	2	5
314	искусства без	1	5
315	на язык	1	5
316	время и	1	5
317	хотя и	4	5
318	не от	2	5
319	не столько	7	5
320	проблем и	1	5
321	что не	1	5
322	а только	4	5
323	звука и	1	5
324	или же	1	5
325	и что	4	5
326	не могла	1	5
327	этом смысле	3	5
328	в поэтической	1	5
329	его как	1	5
330	друг другу	1	5
331	и по	3	5
332	в него	1	5
333	не так	1	5
334	и свою	1	5
335	если в	2	5
336	в отношении	4	5
337	должен был	1	5
338	между которыми	3	5
339	приводит к	6	5
340	не имеет	1	5
341	да и	1	5
342	роли в	5	5
343	высказывание как	1	5
344	то и	1	5
345	высказывания и	2	5
346	в значительной	2	5
347	в отличие	7	5
348	одной из	2	5
349	языка а	1	5
350	до известной	2	5
351	к предмету	1	5
352	в самой	2	5
353	и то	3	5
354	общения в	1	5
355	значение в	1	5
356	для нас	1	5
357	в широком	1	5
358	а о	1	5
359	становления и	1	5
360	виду что	1	5
361	всякое высказывание	1	5
362	в такой	1	5
363	в условиях	1	5
364	отличие от	7	5
365	тому как	3	5
366	таким же	1	5
367	одного из	1	5
368	произведения не	1	5
369	слова в	4	5
370	же в	1	5
371	может и	2	5
372	настоящего времени	1	5
373	от него	1	4
374	и другие	2	4
375	является в	1	4
376	в высказывании	1	4
377	об искусстве	2	4
378	от одного	1	4
379	является не	1	4
380	имеет место	3	4
381	к самому	1	4
382	химическом соединении	1	4
383	между двумя	3	4
384	для данного	1	4
385	превращается в	2	4
386	во всей	3	4
387	одна из	1	4
388	на котором	2	4
389	того же	4	4
390	едва ли	1	4
391	своего развития	1	4
392	в химическом	1	4
393	тем не	3	4
394	что такое	2	4
395	нигде не	1	4
396	в таком	3	4
397	между этими	1	4
398	в лучшем	1	4
399	материалом и	1	4
400	не будет	3	4
401	соединении с	2	4
402	или иное	1	4
403	могла бы	2	4
404	он в	1	4
405	что для	1	4
406	слова как	3	4
407	высказывания как	2	4
408	чтобы не	2	4
409	в романе	3	4
410	однако и	1	4
411	в литературной	2	4
412	подобно тому	3	4
413	смысла в	1	4
414	мы говорим	1	4
415	и действительно	1	4
416	значения и	2	4
417	нет в	1	4
418	к другому	2	4
419	высказывание в	1	4
420	произведение искусства	12	4
421	совпадает с	4	4
422	идет о	2	4
423	наконец в	1	4
424	каждой из	1	4
425	отношении к	4	4
426	данного произведения	1	4
427	целый ряд	1	4
428	являются только	1	4
429	между людьми	1	4
430	тот или	3	4
431	но именно	1	4
432	только при	1	4
433	в литературном	1	4
434	и о	5	4
435	но если	1	4
436	он должен	3	4
437	зависит от	1	4
438	в художественной	3	4
439	не для	1	4
440	что каждый	2	4
441	слово в	1	4
442	а на	3	4
443	реальной действительности	1	4
444	или в	3	4
445	или иначе	6	4
446	но эта	1	4
447	сама по	2	4
448	язык поэзии	1	4
449	или даже	4	4
450	ценностный центр	2	4
451	и притом	3	4
452	тех же	1	4
453	только то	1	4
454	роман и	2	4
455	одним из	3	4
456	лучшем случае	1	4
457	литература как	2	3
458	для всех	2	3
459	дело с	1	3
460	оно становится	1	3
461	в году	2	3
462	требует от	1	3
463	в одном	3	3
464	или для	1	3
465	из всего	1	3
466	литературе как	1	3
467	и должен	1	3
468	а именно	3	3
469	предмета и	1	3
470	в это	1	3
471	на первый	1	3
472	языка мы	1	3
473	изобразительных искусств	1	3
474	ничто не	1	3
475	не всегда	2	3
476	как совокупность	3	3
477	это было	2	3
478	сознания в	2	3
479	воздействия на	2	3
480	не об	1	3
481	в различных	1	3
482	в окружающей	1	3
483	конститутивным моментом	1	3
484	содержания в	1	3
485	новых форм	1	3
486	в контексте	3	3
487	к этим	1	3
488	в системе	2	3
489	мы видим	1	3
490	данного высказывания	1	3
491	внутренняя форма	1	3
492	начала и	1	3
493	а и	5	3
494	души и	1	3
495	в качестве	33	3
496	и через	1	3
497	но как	2	3
498	не была	1	3
499	но он	4	3
500	исторической поэтики	1	3
