N	3gram	Tiupa_Disk	Otkroven
1	в нем нет	1	3
2	не могут быть	1	2
3	в этом мире	2	2
4	а не в	2	2
5	никогда не было	1	2
6	как и все	1	2
7	не может быть	5	2
8	сам по себе	1	1
9	и не быть	1	1
10	о том что	8	1
11	в том что	18	1
12	не в том	3	1
13	а иногда и	1	1
14	и заключается в	1	1
15	в том случае	1	1
16	и то что	2	1
17	в этот период	1	1
18	как и в	3	1
19	то что в	1	1
20	и все же	3	1
21	в самом деле	1	1
22	том случае если	1	1
23	как будто бы	2	1
24	во всяком случае	2	1
25	прежде всего он	1	1
26	в другом месте	1	1
27	может быть осуществлено	1	1
28	о том как	1	1
29	и прежде всего	2	1
30	в этом отношении	4	1
31	потому что в	2	1
32	а не только	2	1
33	на то что	1	1
34	в строгом смысле	1	1
35	по природе своей	6	1
36	заключает в себе	1	1
37	том что в	3	1
38	прежде всего в	2	1
39	в том плане	2	1
40	и в том	1	1
41	не было и	1	1
42	в россии в	1	1
43	и не может	3	1
44	приходит в голову	1	1
