N	3gram	Nazirov_Tv	OGranits
1	не может быть	2	4
2	по отношению к	3	3
3	в том что	8	2
4	художественного произведения как	1	2
5	ничего общего с	1	2
6	не что иное	1	2
7	того или иного	1	2
8	и наконец в	1	2
9	в данном случае	2	2
10	в самом деле	2	2
11	в г в	1	2
12	что иное как	1	2
13	с одной стороны	1	2
14	с другой стороны	2	2
15	с самого начала	3	2
16	эволюция русского натурализма	1	1
17	в этот момент	1	1
18	на самом деле	2	1
19	в его понимании	1	1
20	и как бы	1	1
21	на всем протяжении	1	1
22	дойти до того	1	1
23	чуть ли не	1	1
24	в черновых набросках	1	1
25	но в то	5	1
26	человека и его	2	1
27	равно как и	1	1
28	reductio ad absurdum	1	1
29	в конечном счете	4	1
30	по себе а	1	1
31	так же как	1	1
32	князь мышкин и	1	1
33	только потому что	1	1
34	тем хуже для	1	1
35	в которую не	1	1
36	том что в	3	1
37	и превращается в	1	1
38	в чем же	1	1
39	то или иное	1	1
40	может быть понята	2	1
41	этот момент как	1	1
42	натурализма гоголь и	1	1
43	в другом месте	1	1
44	в отличие от	2	1
45	нужно сказать что	1	1
46	ту или иную	1	1
47	вплоть до его	1	1
48	как и в	2	1
49	в связи с	2	1
50	то же самое	1	1
51	то что в	1	1
52	и не мог	1	1
53	к тому что	1	1
54	тем не менее	2	1
55	только то что	1	1
56	отношений между людьми	1	1
57	нет и не	1	1
58	гоголь и достоевский	1	1
59	в предисловии к	1	1
60	и в их	1	1
61	то же время	18	1
62	русского натурализма гоголь	1	1
63	в то же	19	1
64	в виду что	1	1
65	можно было бы	1	1
66	в себя как	1	1
67	и не может	2	1
68	нам кажется что	1	1
