N	4gram	Bakhtin_Pr	Vladivir
1	дело в том что	1	11
2	в то же время	10	9
3	и в то же	3	5
4	в то время как	2	5
5	и в этом смысле	2	4
6	во что бы то	1	3
7	что бы то ни	1	3
8	с начала и до	2	3
9	в том что он	4	3
10	начала и до конца	2	3
11	заключается в том что	1	3
12	бы то ни стало	1	3
13	и в том что	1	2
14	совершенно так же как	2	2
15	бы то ни было	2	2
16	не имеет ничего общего	1	2
17	имеет ничего общего с	1	2
18	но в то же	5	2
19	в этом смысле его	1	2
20	само по себе не	1	1
21	прежде всего свобода и	1	1
22	с этой точки зрения	1	1
23	уже с самого начала	1	1
24	но тем не менее	1	1
25	и во всяком случае	1	1
26	точка зрения с которой	1	1
27	в одной плоскости с	4	1
28	ни в каком смысле	1	1
29	а в том что	1	1
30	не может быть никаких	1	1
31	нет и не может	1	1
32	одной и той же	1	1
33	в том что это	1	1
34	он в конце концов	1	1
35	которая как раз и	1	1
36	понять и то что	1	1
37	только с точки зрения	1	1
38	независимо от того кто	1	1
39	он как мы сейчас	1	1
40	и не только с	1	1
41	заключается в том чтобы	1	1
42	и на первом плане	1	1
43	то же время и	1	1
44	тем не менее и	1	1
45	говорить о том что	1	1
46	какой бы то ни	1	1
47	так же как и	3	1
48	ни на минуту не	1	1
49	и для него самого	1	1
50	и не может быть	1	1
51	что же это за	1	1
52	не в том что	1	1
