N	4gram	Losev_Prob	TeoriaLi
1	одного и того же	2	4
2	мы имеем в виду	1	3
3	в том числе и	2	2
4	и в самом деле	1	2
5	одно и то же	1	2
6	но в то же	1	2
7	и в то же	1	2
8	а иной раз и	1	1
9	мы имеем дело не	1	1
10	как один из видов	1	1
11	но в таком случае	7	1
12	в том что в	1	1
13	не что иное как	5	1
14	заключается в том что	2	1
15	с одной стороны и	2	1
16	той или иной мере	1	1
17	а с другой стороны	1	1
18	можно даже сказать что	1	1
19	в том случае если	1	1
20	о том о чем	1	1
21	уходит своими корнями в	1	1
22	дело в том что	3	1
23	между внутренней и внешней	1	1
24	всегда так или иначе	1	1
25	с точки зрения логики	1	1
26	чего нет в его	1	1
27	в той или иной	1	1
28	одним и тем же	2	1
29	еще и потому что	1	1
30	в связи с этим	2	1
31	которые лежат в основе	1	1
32	в том или ином	1	1
33	есть не что иное	5	1
