N	3gram	Losev_Vlad	EvropaiE
1	в то же	7	15
2	то же время	7	14
3	и в то	3	8
4	с одной стороны	1	8
5	в том что	13	6
6	для того чтобы	3	5
7	само по себе	1	4
8	не только в	3	4
9	то ни было	1	4
10	бы то ни	2	4
11	и в этом	1	4
12	в последние годы	2	3
13	в известной степени	1	3
14	в этом смысле	4	3
15	во всяком случае	8	3
16	можно сказать что	3	3
17	в этом отношении	2	3
18	так и в	1	2
19	сказать что в	1	2
20	и в частности	3	2
21	того что в	1	2
22	как мы видели	1	2
23	нам кажется что	2	2
24	и притом в	1	2
25	но в то	2	2
26	и только в	1	2
27	не может быть	4	2
28	на то что	6	2
29	по себе не	1	2
30	заключается в том	1	2
31	то что в	1	2
32	во второй половине	3	2
33	в свою очередь	2	2
34	с другой стороны	3	2
35	между прочим и	2	2
36	согласно сказанному выше	1	2
37	не говоря уже	3	2
38	и т д	3	1
39	хотя и не	2	1
40	кроме того что	1	1
41	что в этот	1	1
42	как это мы	4	1
43	а также о	1	1
44	о том насколько	1	1
45	в этот период	1	1
46	в течение этого	2	1
47	тогда как и	1	1
48	чуть ли не	1	1
49	то его можно	1	1
50	дело в том	7	1
51	смысле этого слова	1	1
52	ни на минуту	1	1
53	как и теперь	1	1
54	мы находим у	1	1
55	как и другие	1	1
56	в значительной мере	1	1
57	а не к	1	1
58	к тому что	1	1
59	последнее время в	1	1
60	почти никогда не	1	1
61	и тем самым	1	1
62	во многих случаях	1	1
63	то время как	2	1
64	что начиная с	1	1
65	мы хотели бы	3	1
66	во всем его	1	1
67	или вовсе не	1	1
68	и в своем	1	1
69	до настоящего времени	1	1
70	в себе не	1	1
71	то что с	1	1
72	не будет ли	1	1
73	один и тот	2	1
74	из всего этого	1	1
75	в каком они	1	1
76	не может не	1	1
77	с тем что	1	1
78	что же касается	8	1
79	в связи с	7	1
80	если этот факт	1	1
81	быть речи о	1	1
82	и не в	1	1
83	приняли на себя	1	1
84	в том же	3	1
85	и тот же	2	1
86	а также в	1	1
87	может быть речи	1	1
88	в последнее время	2	1
89	в том числе	1	1
90	насколько можно судить	1	1
91	но как бы	1	1
92	указать на то	1	1
93	говоря уже о	3	1
94	и для всех	1	1
95	в то время	6	1
96	поскольку она не	1	1
97	что в этом	1	1
98	более или менее	5	1
99	также и в	2	1
100	на этот раз	7	1
101	в переводе на	1	1
102	а также от	1	1
103	что в основных	1	1
104	но и для	1	1
105	к тому же	3	1
106	а также и	2	1
107	может быть и	1	1
