N	2gram	Bakhtin_Fr	Poddanst
1	не только	11	17
2	и в	73	14
3	и не	13	12
4	в области	3	11
5	в этом	21	10
6	в отношении	6	10
7	в том	13	9
8	то же	16	9
9	в качестве	11	9
10	но в	12	9
11	в пределах	1	8
12	только в	7	7
13	же время	12	7
14	в то	14	7
15	в ней	10	6
16	xix века	2	6
17	было бы	5	6
18	но и	15	6
19	может быть	5	5
20	с другой	3	5
21	не в	12	5
22	и о	2	5
23	в которых	3	5
24	и к	6	4
25	что в	14	4
26	в котором	4	4
27	гораздо большей	1	4
28	по себе	2	4
29	тех кто	2	4
30	и если	1	4
31	и потому	6	4
32	не может	4	4
33	в гораздо	1	4
34	а в	10	4
35	то что	12	4
36	как бы	15	4
37	а также	8	4
38	в своем	13	4
39	же в	2	4
40	том что	8	4
41	большей степени	1	4
42	наряду с	1	3
43	в себе	16	3
44	что мы	2	3
45	с одной	3	3
46	мы не	2	3
47	это не	7	3
48	одной стороны	3	3
49	между тем	2	3
50	с точки	4	3
51	хотя и	5	3
52	с тем	2	3
53	потому что	9	3
54	прежде всего	18	3
55	вслед за	1	3
56	тем самым	3	3
57	заключается в	1	3
58	но не	1	3
59	и как	5	3
60	с ними	4	3
61	в нем	18	3
62	и без	1	3
63	тот же	3	3
64	точки зрения	6	3
65	с этим	4	2
66	во всех	13	2
67	и это	6	2
68	и других	3	2
69	которую мы	1	2
70	и вот	3	2
71	время в	3	2
72	в значительной	5	2
73	том числе	4	2
74	не будем	2	2
75	еще более	4	2
76	и сухая	1	2
77	начала и	4	2
78	эта идея	1	2
79	и весьма	2	2
80	в ее	6	2
81	и тем	3	2
82	того что	5	2
83	никак не	1	2
84	как раз	3	2
85	в недрах	2	2
86	в частности	2	2
87	в его	18	2
88	xix веке	1	2
89	а не	2	2
90	но о	1	2
91	для нас	2	2
92	все это	19	2
93	в которую	1	2
94	в тот	1	2
95	для них	1	2
96	может и	2	2
97	где в	1	2
98	и есть	3	2
99	стороны и	1	2
100	как мир	1	2
101	в виде	2	2
102	в них	14	2
103	знать что	3	2
104	не было	4	2
105	г и	1	2
106	и с	17	2
107	из важнейших	1	2
108	в начале	4	2
109	как на	1	2
110	мысль о	1	2
111	в сфере	1	2
112	именно в	4	2
113	значительной мере	1	2
114	должно быть	4	2
115	в жизни	1	2
116	отношения к	1	2
117	во всей	2	2
118	есть нечто	1	2
119	в силу	1	2
120	одна из	7	2
121	между прочим	2	2
122	в мире	3	2
123	например в	8	2
124	думать что	1	2
125	да и	1	2
126	по характеру	1	2
127	в эту	2	2
128	из них	6	2
129	но к	1	2
130	есть не	2	2
131	тем более	1	2
132	есть в	9	2
133	и пусть	1	2
134	образом на	1	2
135	что из	1	2
136	бы ни	1	2
137	мира с	1	2
138	в xix	1	2
139	что было	1	1
140	к сожалению	1	1
141	говорится о	1	1
142	нет ничего	1	1
143	как к	1	1
144	во всяком	2	1
145	тем в	1	1
146	в творениях	1	1
147	был и	3	1
148	не есть	2	1
149	культурного развития	1	1
150	находятся в	2	1
151	и то	3	1
152	эту эпоху	1	1
153	мир с	1	1
154	выступает в	2	1
155	момент когда	1	1
156	мы можем	1	1
157	и эти	2	1
158	на этой	4	1
159	мы видим	13	1
160	эта не	1	1
161	а с	1	1
162	в данном	3	1
163	что от	1	1
164	с его	5	1
