N	2gram	Vinokur_St	Freidism
1	таким образом	16	34
2	и не	23	34
3	точки зрения	16	31
4	не может	10	30
5	и пр	4	29
6	в этом	37	28
7	может быть	16	28
8	и в	61	28
9	прежде всего	11	26
10	в его	19	25
11	и его	11	22
12	мы можем	1	20
13	как бы	8	19
14	как мы	1	18
15	то что	27	17
16	вовсе не	24	16
17	с точки	10	15
18	точка зрения	1	15
19	все эти	7	15
20	так как	7	15
21	в своей	12	14
22	так и	15	14
23	самом деле	14	14
24	и все	3	13
25	как и	11	13
26	по отношению	3	13
27	но в	16	13
28	во всех	8	13
29	в самом	14	12
30	то же	7	12
31	ни в	5	12
32	что он	23	12
33	том что	49	12
34	точку зрения	3	12
35	для него	10	12
36	все это	13	12
37	и потому	3	12
38	только в	11	11
39	сказать что	9	11
40	отношению к	3	11
41	его в	4	11
42	все что	1	10
43	один из	1	10
44	не только	36	10
45	и с	6	10
46	но и	28	10
47	конечно не	2	10
48	что же	6	10
49	тот же	2	10
50	никогда не	7	10
51	в том	56	10
52	он не	11	10
53	за пределы	2	10
54	не в	15	10
55	и на	7	9
56	те же	1	9
57	уже не	1	9
58	во всяком	8	9
59	совершенно не	7	9
60	мы не	3	9
61	с его	3	9
62	к этому	4	9
63	к нему	2	9
64	в чем	4	9
65	а не	19	9
66	культурного творчества	1	9
67	и др	1	9
68	могут быть	5	9
69	при этом	4	8
70	все же	12	8
71	еще не	4	8
72	с этим	6	8
73	было бы	21	8
74	и вот	1	8
75	а в	18	8
76	по мнению	4	8
77	на этом	1	8
78	в ней	9	8
79	всяком случае	8	8
80	что в	41	7
81	и к	5	7
82	не могут	2	7
83	связь с	1	7
84	роль в	1	7
85	его жизни	3	7
86	хотя бы	8	7
87	в каком	4	7
88	если мы	1	7
89	до конца	4	7
90	что все	3	7
91	и для	4	7
92	из них	11	7
93	на протяжении	1	7
94	того что	14	7
95	не является	5	7
96	но не	5	7
97	об этом	9	7
98	и у	2	7
99	с самого	4	7
100	в нем	9	7
101	быть и	2	7
102	в этой	13	7
103	отношение к	3	7
104	в себе	3	7
105	жизни и	6	7
106	в то	10	7
107	более того	1	7
108	зрения на	1	6
109	одно из	3	6
110	если он	1	6
111	в корне	1	6
112	не менее	8	6
113	к тому	9	6
114	можно сказать	2	6
115	в основе	4	6
116	для того	15	6
117	же время	5	6
118	из этих	7	6
119	высшей степени	1	6
120	мы имеем	2	6
121	протяжении всей	1	6
122	ни о	1	6
123	как раз	10	6
124	что такое	2	6
125	во время	5	6
126	на самом	8	6
127	здесь в	1	6
128	чем же	1	6
129	в таком	4	6
130	она не	3	6
131	совсем не	3	6
132	и что	8	6
133	в пределах	1	6
134	и о	4	6
135	в высшей	1	6
136	и только	3	6
137	для этого	2	6
138	всех этих	2	6
139	что это	5	5
140	в более	1	5
141	со всеми	2	5
142	в своих	2	5
143	ее в	2	5
144	конечно и	5	5
145	в процессе	3	5
146	с ними	1	5
147	вместе с	5	5
148	со стороны	7	5
149	тех же	1	5
150	того чтобы	15	5
151	говорить о	3	5
152	на основании	2	5
153	и до	2	5
154	и те	4	5
155	чем не	2	5
156	самого начала	3	5
157	что она	5	5
158	он сам	1	5
159	по поводу	13	5
160	той же	5	5
161	это не	8	5
162	в ее	6	5
163	что и	8	5
164	с их	2	5
165	в которой	13	5
166	тому что	8	5
167	между ними	1	5
168	в этих	5	5
169	и по	6	5
170	таким путем	2	5
171	не было	7	5
172	во второй	10	5
173	не знает	2	5
174	как это	6	5
175	далеко не	1	5
176	только то	1	5
177	от того	1	5
178	заключается в	5	5
179	ничего не	6	5
180	в общем	2	5
181	в период	2	5
182	с которыми	3	4
183	а потому	2	4
184	в последнем	1	4
185	смысле слова	1	4
186	сам по	1	4
187	борьбы с	3	4
188	в виду	6	4
189	по себе	3	4
190	если бы	11	4
191	именно в	8	4
192	связанные с	3	4
193	как в	15	4
194	себя и	1	4
195	этот вопрос	6	4
196	зависимости от	2	4
197	из которого	2	4
198	ничего общего	3	4
199	это и	5	4
200	данном случае	7	4
201	в данном	16	4
202	в котором	11	4
203	потому что	13	4
204	это только	1	4
205	не всегда	2	4
206	только на	1	4
207	а только	1	4
208	в истории	5	4
209	так же	7	4
210	отметить что	4	4
211	связанных с	1	4
212	нет и	1	4
213	на него	3	4
214	в своем	8	4
215	нигде не	2	4
216	это вовсе	2	4
217	одна из	1	4
218	только с	4	4
219	но это	9	4
220	едва ли	1	4
221	что оно	4	4
222	этой области	5	4
223	и за	3	4
224	этом отношении	13	4
225	тем не	4	4
226	на всех	1	4
227	у него	3	4
228	мы находим	4	4
229	не существует	4	4
230	в голову	2	4
231	в зависимости	2	4
232	но ведь	8	4
233	я не	13	4
234	по своему	2	4
235	между собой	1	4
236	нисколько не	3	4
237	на язык	1	4
238	и вообще	5	4
239	о себе	1	4
240	выражение в	2	4
241	в таких	1	4
242	не дает	2	4
243	и речи	3	4
244	то ни	2	4
245	в развитии	2	4
246	должны быть	4	4
247	в другом	5	4
248	к ней	1	4
249	в узком	1	4
250	в области	16	4
251	в целом	5	4
252	ответ на	4	3
253	не так	2	3
254	во втором	5	3
255	до сих	13	3
256	и очень	5	3
257	на почве	2	3
258	и при	1	3
259	освободиться от	1	3
260	о которой	3	3
261	мы в	1	3
262	утверждает что	1	3
263	для них	2	3
264	в результате	5	3
265	нет никакого	3	3
266	и тот	1	3
267	в них	2	3
268	в основу	5	3
269	оно не	3	3
270	и даже	8	3
271	все его	1	3
272	их в	2	3
273	значение в	1	3
274	очень важный	1	3
275	к его	2	3
276	притом в	1	3
277	укладывается в	1	3
278	где оно	1	3
279	связано с	1	3
280	что мы	5	3
281	он был	5	3
282	ни на	3	3
283	на основе	1	3
284	о них	3	3
285	в одном	7	3
286	сил в	1	3
287	можно ли	5	3
288	и той	1	3
289	уже в	3	3
290	как на	10	3
291	не совсем	1	3
292	на две	1	3
293	тем же	3	3
294	в нашем	1	3
295	непосредственно из	1	3
296	с этими	1	3
297	о том	30	3
298	во всей	1	3
299	в сознании	2	3
300	на этот	5	3
301	иным как	1	3
302	всего к	1	3
303	какой степени	1	3
304	а вовсе	1	3
305	того же	4	3
306	бы то	2	3
307	только не	2	3
308	и то	6	3
309	говорит о	5	3
310	действительно ли	1	3
311	они не	2	3
312	ведь именно	1	3
313	не будем	1	3
314	узком смысле	1	3
315	похоже на	3	3
316	и этим	1	3
317	у нас	12	3
318	и притом	1	3
319	от всех	1	3
320	одним из	2	3
321	не больше	1	3
322	на себя	3	3
323	но для	3	3
324	такой же	6	3
325	случае не	3	3
326	и как	2	3
327	согласиться с	1	3
328	есть только	2	3
329	и сам	4	3
330	на все	2	3
331	в свой	2	3
332	в условиях	1	3
333	же касается	3	3
334	себе и	1	3
335	которой он	1	3
336	и таким	1	3
337	сих пор	12	3
338	этих двух	4	3
339	читателя в	1	3
340	и тех	1	3
341	в г	10	3
342	выйти за	1	3
343	и внешнюю	1	3
344	ни один	2	3
345	между тем	7	3
346	в какой	4	3
347	когда он	1	3
348	не приходится	5	3
349	и является	1	3
350	конечно в	1	3
351	борьба с	2	3
352	как не	1	3
353	со всею	1	3
354	не интересует	1	3
355	явление в	1	3
356	себя в	1	3
357	мы называем	1	3
358	бы он	1	3
359	и от	2	3
360	и есть	1	3
361	конечно совершенно	1	3
362	но вовсе	1	3
363	же мы	1	3
364	нуждается в	2	3
365	на всем	1	3
366	а как	5	3
367	независимо от	1	3
368	ведь и	3	3
369	в эпоху	3	3
370	если это	3	3
371	на это	2	3
372	не выдерживает	1	2
373	для самого	1	2
374	однако и	2	2
375	новое и	1	2
376	и другие	3	2
377	это утверждение	1	2
378	случае в	4	2
379	и этот	1	2
380	выводу что	1	2
381	в момент	1	2
