N	3gram	Kanaev_Sov	Problema
1	тем не менее	2	56
2	в том что	1	37
3	то же самое	2	30
4	в настоящее время	2	30
5	в связи с	1	29
6	в данном случае	1	28
7	той или иной	1	26
8	по крайней мере	1	26
9	во всяком случае	2	25
10	с точки зрения	5	25
11	в этом смысле	1	19
12	в то же	1	17
13	до сих пор	1	14
14	не что иное	1	14
15	что иное как	1	14
16	в этом случае	1	14
17	это значит что	1	13
18	сами по себе	1	13
19	на самом деле	1	13
20	можно было бы	1	13
21	не может быть	4	12
22	и в этом	1	12
23	дело в том	1	11
24	есть не что	1	11
25	бы то ни	1	11
26	с одной стороны	1	11
27	и ни в	1	9
28	может быть и	2	9
29	может быть только	1	8
30	а может быть	1	7
31	когда мы говорим	1	7
32	те или иные	1	7
33	с самого начала	3	7
34	в этой области	1	7
35	тот или иной	1	7
36	в самом деле	1	6
37	но отнюдь не	1	6
38	то ни было	1	6
39	на этот раз	1	5
40	так же как	1	5
41	в зависимости от	4	5
42	и прежде всего	1	5
43	но если мы	1	5
44	ни о каком	1	5
45	но все же	1	4
46	в одном случае	1	4
47	не было бы	1	4
48	равно как и	1	4
49	и не было	1	4
50	всяком случае не	1	4
51	в новое время	1	4
52	одной стороны и	1	3
53	в отличие от	2	3
54	но уже в	1	3
55	ровно ничего не	1	3
56	тот факт что	1	3
57	и есть то	1	3
58	и в то	1	3
59	в известном смысле	1	3
60	и может быть	1	3
61	мы не знаем	1	3
62	и ничего не	1	3
63	по отношению к	1	2
64	для чего же	1	2
65	не будет ли	1	2
66	мы говорим о	1	2
67	ничего общего не	1	2
68	то нет и	1	2
69	говорить только о	1	2
70	один и тот	1	2
71	мы не можем	6	2
72	собою ясно что	1	2
73	другое дело если	1	2
74	по самому своему	1	2
75	и все же	1	2
76	как и во	1	2
77	и тот же	1	2
78	а не только	1	2
79	в себе в	1	2
80	друг на друга	1	2
81	в дальнейшем и	1	2
82	все более и	1	2
83	как мы это	1	2
84	не может не	3	2
85	так как он	2	2
86	в свою очередь	2	2
87	и не может	1	2
88	само собою ясно	1	2
89	в том случае	1	2
90	и той же	1	2
91	более и более	1	2
92	он может быть	1	2
93	одной и той	1	2
94	не в виде	1	2
95	но тем не	1	2
96	общего не имеет	1	2
97	но ведь это	1	1
98	нельзя говорить о	1	1
99	ни то ни	1	1
100	что в ней	1	1
101	в том как	1	1
102	же это за	2	1
103	и что она	1	1
104	дальнейшем и в	1	1
105	подлежит никакому сомнению	1	1
106	может не быть	1	1
107	прежде всего человек	1	1
108	по аналогии с	1	1
109	быть и речи	1	1
110	то ни другое	1	1
111	возникновения и развития	1	1
112	в каждом отдельном	5	1
113	когда мы ее	1	1
114	на этот вопрос	1	1
115	в древней греции	1	1
116	при этом само	1	1
117	это то же	1	1
118	и не можем	1	1
119	но никогда не	1	1
120	ведь это не	1	1
121	такой же мере	1	1
122	и наконец все	1	1
123	а потом и	1	1
124	а в конце	1	1
125	и могут быть	1	1
126	ясно что при	1	1
127	и в настоящее	1	1
128	всяком случае такого	1	1
129	и до сих	1	1
130	может быть в	1	1
131	времени и пространства	2	1
132	же мере в	1	1
133	xix в и	1	1
134	мы без труда	1	1
135	до наших дней	1	1
136	состоит из одной	1	1
137	с ним или	1	1
138	в дальнейшем мы	1	1
139	самого начала мы	1	1
140	что же это	3	1
141	не подлежит никакому	1	1
142	явлений и не	1	1
143	мы можем назвать	2	1
144	тот или другой	1	1
145	и во всех	1	1
146	не только ничего	1	1
147	и пр но	1	1
148	не в том	1	1
149	в обратном порядке	1	1
150	и все время	1	1
151	все же в	1	1
152	ничего не сказано	1	1
153	из них это	1	1
154	в окончательном смысле	1	1
155	в такой же	1	1
156	прежде всего мы	1	1
157	не могут быть	1	1
158	каждая из этих	1	1
159	в и в	1	1
160	можем ли мы	1	1
161	то же время	1	1
162	в начале нашего	1	1
163	раз и навсегда	1	1
164	том случае когда	1	1
165	то он уже	1	1
166	какой бы то	1	1
167	ведь если нет	1	1
168	который как бы	1	1
169	со всеми ее	1	1
170	не имеет с	1	1
171	и в новое	1	1
172	и вообще на	1	1
173	сказать несколько слов	1	1
174	но это уже	1	1
175	и есть не	1	1
176	по многим вопросам	1	1
177	бы все это	1	1
178	представление о том	1	1
179	но только не	1	1
180	по его мнению	1	1
181	только ничего не	1	1
182	в свое время	1	1
183	этого и не	1	1
