N	4gram	Losev_Vesc	FransuaR
1	в то же время	4	55
2	но в то же	1	20
3	дело в том что	4	13
4	и в то же	3	12
5	на самом же деле	1	10
6	с одной стороны и	1	5
7	один и тот же	1	4
8	одного и того же	1	3
9	не что иное как	12	3
10	мы видим таким образом	1	3
11	есть не что иное	8	3
12	содержит в себе и	1	2
13	в том что это	1	2
14	заключается в том что	2	2
15	бы то ни было	12	2
16	ни на что не	1	2
17	дело вовсе не в	1	2
18	ни в коем случае	1	2
19	но даже и в	1	2
20	не может быть и	1	2
21	все новые и новые	1	2
22	может быть и речи	1	2
23	какой бы то ни	1	2
24	в чем же сущность	1	1
25	не только то что	1	1
26	что с точки зрения	1	1
27	в связи с вопросом	1	1
28	вопрос о том как	2	1
29	то это уже не	1	1
30	условиях не может быть	2	1
31	не имеет никакого отношения	2	1
32	в первом случае мы	1	1
33	не может быть ни	3	1
34	в то время как	4	1
35	еще один момент который	1	1
36	между собою и с	1	1
37	и еще один момент	1	1
38	нужно для того чтобы	1	1
39	так как она есть	1	1
40	и в самом деле	1	1
41	мы уже сказали что	1	1
42	свидетельствует о том что	3	1
43	из них получилось нечто	1	1
44	широко не только в	1	1
45	одно и то же	5	1
46	в одном и том	1	1
47	не имеющие никакого отношения	1	1
48	одном и том же	1	1
49	и вместе с тем	1	1
50	что из них получилось	1	1
51	заключается в том чтобы	1	1
52	он становится на точку	1	1
53	самом деле в чем	1	1
54	связи с вопросом о	1	1
55	взятый сам по себе	1	1
56	одной стороны и с	1	1
57	есть все то что	1	1
58	и здесь и там	1	1
59	ни о чем не	1	1
60	но даже и не	1	1
61	до сих пор мы	1	1
62	в нем нет ничего	1	1
63	видим таким образом что	1	1
64	действительность так как она	1	1
65	в самом деле в	1	1
66	и с другой стороны	1	1
67	в их конкретной и	1	1
68	в том что он	2	1
69	с точки зрения этого	1	1
70	и в этом отношении	1	1
71	как и во всяком	1	1
72	один момент который также	1	1
73	в этом отношении они	2	1
74	от адама и евы	1	1
75	подобно тому как в	1	1
76	но потому что они	1	1
