N	4gram	Tiupa_Lite	Istorich
1	с этой точки зрения	3	6
2	состоит в том что	6	4
3	в этом случае мы	1	3
4	с одной стороны и	1	3
5	не исключают друг друга	1	3
6	дело не только в	2	3
7	бы то ни было	1	3
8	в том что он	1	2
9	одно и то же	1	2
10	с другой стороны он	1	2
11	дело в том что	2	2
12	и не может быть	1	2
13	и в соответствии с	1	1
14	в этом и нет	1	1
15	для него как и	1	1
16	в том что в	1	1
17	в его связи с	1	1
18	а не только на	1	1
19	во всяком случае в	1	1
20	не только в том	2	1
21	в полном соответствии с	1	1
22	которые не могут быть	1	1
23	он не может быть	1	1
24	в конце xix века	1	1
25	не говоря уже о	2	1
26	только в том что	2	1
27	имеется в виду не	1	1
28	мы имеем дело с	1	1
29	но с другой стороны	3	1
30	этом и нет необходимости	1	1
31	в это время мимо	1	1
32	приводит к тому что	1	1
33	какой бы то ни	1	1
34	в то же время	12	1
35	и тем более не	1	1
